,bottom_left_x1,bottom_left_y1,top_right_x2,top_right_y2,pg
0,0.0,3888.09,21.25,4033.55,7
1,21.25,3888.09,40.86,4033.55,7
2,40.86,3888.09,67.12,4033.55,7
3,67.12,3888.09,209.27,4033.55,7
4,209.27,3888.09,367.23,4033.55,7
5,367.23,3888.09,815.49,4033.55,7
6,815.49,3888.09,1469.87,4033.55,7
7,1469.87,3888.09,2129.15,4033.55,7
8,2129.15,3888.09,2509.75,4033.55,7
9,0.0,3661.26,21.25,3888.09,7
10,21.25,3661.26,40.86,3888.09,7
11,40.86,3661.26,67.12,3888.09,7
12,67.12,3661.26,209.27,3888.09,7
13,209.27,3661.26,367.23,3888.09,7
14,367.23,3661.26,815.49,3888.09,7
15,815.49,3661.26,1469.87,3888.09,7
16,1469.87,3661.26,2129.15,3888.09,7
17,2129.15,3661.26,2509.75,3888.09,7
18,0.0,3545.13,21.25,3661.26,7
19,21.25,3545.13,40.86,3661.26,7
20,40.86,3545.13,67.12,3661.26,7
21,67.12,3545.13,209.27,3661.26,7
22,209.27,3545.13,367.23,3661.26,7
23,367.23,3545.13,815.49,3661.26,7
24,815.49,3545.13,1469.87,3661.26,7
25,1469.87,3545.13,2129.15,3661.26,7
26,2129.15,3545.13,2509.75,3661.26,7
27,0.0,3517.6,21.25,3545.13,7
28,21.25,3517.6,40.86,3545.13,7
29,40.86,3517.6,67.12,3545.13,7
30,67.12,3517.6,209.27,3545.13,7
31,209.27,3517.6,367.23,3545.13,7
32,367.23,3517.6,815.49,3545.13,7
33,815.49,3517.6,1469.87,3545.13,7
34,1469.87,3517.6,2129.15,3545.13,7
35,2129.15,3517.6,2509.75,3545.13,7
36,0.0,3440.69,21.25,3517.6,7
37,21.25,3440.69,40.86,3517.6,7
38,40.86,3440.69,67.12,3517.6,7
39,67.12,3440.69,209.27,3517.6,7
40,209.27,3440.69,367.23,3517.6,7
41,367.23,3440.69,815.49,3517.6,7
42,815.49,3440.69,1469.87,3517.6,7
43,1469.87,3440.69,2129.15,3517.6,7
44,2129.15,3440.69,2509.75,3517.6,7
45,0.0,3340.19,21.25,3440.69,7
46,21.25,3340.19,40.86,3440.69,7
47,40.86,3340.19,67.12,3440.69,7
48,67.12,3340.19,209.27,3440.69,7
49,209.27,3340.19,367.23,3440.69,7
50,367.23,3340.19,815.49,3440.69,7
51,815.49,3340.19,1469.87,3440.69,7
52,1469.87,3340.19,2129.15,3440.69,7
53,2129.15,3340.19,2509.75,3440.69,7
54,0.0,3237.51,21.25,3340.19,7
55,21.25,3237.51,40.86,3340.19,7
56,40.86,3237.51,67.12,3340.19,7
57,67.12,3237.51,209.27,3340.19,7
58,209.27,3237.51,367.23,3340.19,7
59,367.23,3237.51,815.49,3340.19,7
60,815.49,3237.51,1469.87,3340.19,7
61,1469.87,3237.51,2129.15,3340.19,7
62,2129.15,3237.51,2509.75,3340.19,7
63,0.0,3133.98,21.25,3237.51,7
64,21.25,3133.98,40.86,3237.51,7
65,40.86,3133.98,67.12,3237.51,7
66,67.12,3133.98,209.27,3237.51,7
67,209.27,3133.98,367.23,3237.51,7
68,367.23,3133.98,815.49,3237.51,7
69,815.49,3133.98,1469.87,3237.51,7
70,1469.87,3133.98,2129.15,3237.51,7
71,2129.15,3133.98,2509.75,3237.51,7
72,0.0,3030.82,21.25,3133.98,7
73,21.25,3030.82,40.86,3133.98,7
74,40.86,3030.82,67.12,3133.98,7
75,67.12,3030.82,209.27,3133.98,7
76,209.27,3030.82,367.23,3133.98,7
77,367.23,3030.82,815.49,3133.98,7
78,815.49,3030.82,1469.87,3133.98,7
79,1469.87,3030.82,2129.15,3133.98,7
80,2129.15,3030.82,2509.75,3133.98,7
81,0.0,2929.64,21.25,3030.82,7
82,21.25,2929.64,40.86,3030.82,7
83,40.86,2929.64,67.12,3030.82,7
84,67.12,2929.64,209.27,3030.82,7
85,209.27,2929.64,367.23,3030.82,7
86,367.23,2929.64,815.49,3030.82,7
87,815.49,2929.64,1469.87,3030.82,7
88,1469.87,2929.64,2129.15,3030.82,7
89,2129.15,2929.64,2509.75,3030.82,7
90,0.0,2879.43,21.25,2929.64,7
91,21.25,2879.43,40.86,2929.64,7
92,40.86,2879.43,67.12,2929.64,7
93,67.12,2879.43,209.27,2929.64,7
94,209.27,2879.43,367.23,2929.64,7
95,367.23,2879.43,815.49,2929.64,7
96,815.49,2879.43,1469.87,2929.64,7
97,1469.87,2879.43,2129.15,2929.64,7
98,2129.15,2879.43,2509.75,2929.64,7
99,0.0,2801.53,21.25,2879.43,7
100,21.25,2801.53,40.86,2879.43,7
101,40.86,2801.53,67.12,2879.43,7
102,67.12,2801.53,209.27,2879.43,7
103,209.27,2801.53,367.23,2879.43,7
104,367.23,2801.53,815.49,2879.43,7
105,815.49,2801.53,1469.87,2879.43,7
106,1469.87,2801.53,2129.15,2879.43,7
107,2129.15,2801.53,2509.75,2879.43,7
108,0.0,2723.1,21.25,2801.53,7
109,21.25,2723.1,40.86,2801.53,7
110,40.86,2723.1,67.12,2801.53,7
