,bottom_left_x1,bottom_left_y1,top_right_x2,top_right_y2,pg
0,0.0,3634.59,64.29,3737.49,9
1,64.29,3634.59,195.43,3737.49,9
2,195.43,3634.59,366.69,3737.49,9
3,366.69,3634.59,546.18,3737.49,9
4,546.18,3634.59,723.6,3737.49,9
5,723.6,3634.59,2509.75,3737.49,9
6,0.0,3532.5,64.29,3634.59,9
7,64.29,3532.5,195.43,3634.59,9
8,195.43,3532.5,366.69,3634.59,9
9,366.69,3532.5,546.18,3634.59,9
10,546.18,3532.5,723.6,3634.59,9
11,723.6,3532.5,2509.75,3634.59,9
12,0.0,3429.44,64.29,3532.5,9
13,64.29,3429.44,195.43,3532.5,9
14,195.43,3429.44,366.69,3532.5,9
15,366.69,3429.44,546.18,3532.5,9
16,546.18,3429.44,723.6,3532.5,9
17,723.6,3429.44,2509.75,3532.5,9
18,0.0,3329.85,64.29,3429.44,9
19,64.29,3329.85,195.43,3429.44,9
20,195.43,3329.85,366.69,3429.44,9
21,366.69,3329.85,546.18,3429.44,9
22,546.18,3329.85,723.6,3429.44,9
23,723.6,3329.85,2509.75,3429.44,9
24,0.0,3273.16,64.29,3329.85,9
25,64.29,3273.16,195.43,3329.85,9
26,195.43,3273.16,366.69,3329.85,9
27,366.69,3273.16,546.18,3329.85,9
28,546.18,3273.16,723.6,3329.85,9
29,723.6,3273.16,2509.75,3329.85,9
30,0.0,3196.52,64.29,3273.16,9
31,64.29,3196.52,195.43,3273.16,9
32,195.43,3196.52,366.69,3273.16,9
33,366.69,3196.52,546.18,3273.16,9
34,546.18,3196.52,723.6,3273.16,9
35,723.6,3196.52,2509.75,3273.16,9
36,0.0,3123.82,64.29,3196.52,9
37,64.29,3123.82,195.43,3196.52,9
38,195.43,3123.82,366.69,3196.52,9
39,366.69,3123.82,546.18,3196.52,9
40,546.18,3123.82,723.6,3196.52,9
41,723.6,3123.82,2509.75,3196.52,9
42,0.0,3020.47,64.29,3123.82,9
43,64.29,3020.47,195.43,3123.82,9
44,195.43,3020.47,366.69,3123.82,9
45,366.69,3020.47,546.18,3123.82,9
46,546.18,3020.47,723.6,3123.82,9
47,723.6,3020.47,2509.75,3123.82,9
48,0.0,2919.31,64.29,3020.47,9
49,64.29,2919.31,195.43,3020.47,9
50,195.43,2919.31,366.69,3020.47,9
51,366.69,2919.31,546.18,3020.47,9
52,546.18,2919.31,723.6,3020.47,9
53,723.6,2919.31,2509.75,3020.47,9
54,0.0,2812.08,64.29,2919.31,9
55,64.29,2812.08,195.43,2919.31,9
56,195.43,2812.08,366.69,2919.31,9
57,366.69,2812.08,546.18,2919.31,9
58,546.18,2812.08,723.6,2919.31,9
59,723.6,2812.08,2509.75,2919.31,9
60,0.0,2708.69,64.29,2812.08,9
61,64.29,2708.69,195.43,2812.08,9
62,195.43,2708.69,366.69,2812.08,9
63,366.69,2708.69,546.18,2812.08,9
64,546.18,2708.69,723.6,2812.08,9
65,723.6,2708.69,2509.75,2812.08,9
66,0.0,2611.74,64.29,2708.69,9
