,bottom_left_x1,bottom_left_y1,top_right_x2,top_right_y2,pg
0,0.0,3643.36,64.85,3747.76,8
1,64.85,3643.36,194.46,3747.76,8
2,194.46,3643.36,361.08,3747.76,8
3,361.08,3643.36,705.14,3747.76,8
4,705.14,3643.36,1559.25,3747.76,8
5,1559.25,3643.36,2509.73,3747.76,8
6,0.0,3543.25,64.85,3643.36,8
7,64.85,3543.25,194.46,3643.36,8
8,194.46,3543.25,361.08,3643.36,8
9,361.08,3543.25,705.14,3643.36,8
10,705.14,3543.25,1559.25,3643.36,8
11,1559.25,3543.25,2509.73,3643.36,8
12,0.0,3441.16,64.85,3543.25,8
13,64.85,3441.16,194.46,3543.25,8
14,194.46,3441.16,361.08,3543.25,8
15,361.08,3441.16,705.14,3543.25,8
16,705.14,3441.16,1559.25,3543.25,8
17,1559.25,3441.16,2509.73,3543.25,8
18,0.0,3337.66,64.85,3441.16,8
19,64.85,3337.66,194.46,3441.16,8
20,194.46,3337.66,361.08,3441.16,8
21,361.08,3337.66,705.14,3441.16,8
22,705.14,3337.66,1559.25,3441.16,8
23,1559.25,3337.66,2509.73,3441.16,8
24,0.0,3241.37,64.85,3337.66,8
25,64.85,3241.37,194.46,3337.66,8
26,194.46,3241.37,361.08,3337.66,8
27,361.08,3241.37,705.14,3337.66,8
28,705.14,3241.37,1559.25,3337.66,8
29,1559.25,3241.37,2509.73,3337.66,8
30,0.0,3137.18,64.85,3241.37,8
31,64.85,3137.18,194.46,3241.37,8
32,194.46,3137.18,361.08,3241.37,8
33,361.08,3137.18,705.14,3241.37,8
34,705.14,3137.18,1559.25,3241.37,8
35,1559.25,3137.18,2509.73,3241.37,8
36,0.0,3028.96,64.85,3137.18,8
37,64.85,3028.96,194.46,3137.18,8
38,194.46,3028.96,361.08,3137.18,8
39,361.08,3028.96,705.14,3137.18,8
40,705.14,3028.96,1559.25,3137.18,8
41,1559.25,3028.96,2509.73,3137.18,8
42,0.0,2926.87,64.85,3028.96,8
43,64.85,2926.87,194.46,3028.96,8
44,194.46,2926.87,361.08,3028.96,8
45,361.08,2926.87,705.14,3028.96,8
46,705.14,2926.87,1559.25,3028.96,8
47,1559.25,2926.87,2509.73,3028.96,8
48,0.0,2874.78,64.85,2926.87,8
49,64.85,2874.78,194.46,2926.87,8
50,194.46,2874.78,361.08,2926.87,8
51,361.08,2874.78,705.14,2926.87,8
52,705.14,2874.78,1559.25,2926.87,8
53,1559.25,2874.78,2509.73,2926.87,8
54,0.0,2770.14,64.85,2874.78,8
55,64.85,2770.14,194.46,2874.78,8
56,194.46,2770.14,361.08,2874.78,8
57,361.08,2770.14,705.14,2874.78,8
58,705.14,2770.14,1559.25,2874.78,8
59,1559.25,2770.14,2509.73,2874.78,8
60,0.0,2666.98,64.85,2770.14,8
61,64.85,2666.98,194.46,2770.14,8
62,194.46,2666.98,361.08,2770.14,8
63,361.08,2666.98,705.14,2770.14,8
64,705.14,2666.98,1559.25,2770.14,8
65,1559.25,2666.98,2509.73,2770.14,8
66,0.0,2564.62,64.85,2666.98,8
67,64.85,2564.62,194.46,2666.98,8
68,194.46,2564.62,361.08,2666.98,8
69,361.08,2564.62,705.14,2666.98,8
70,705.14,2564.62,1559.25,2666.98,8
71,1559.25,2564.62,2509.73,2666.98,8
72,0.0,2462.69,64.85,2564.62,8
73,64.85,2462.69,194.46,2564.62,8
74,194.46,2462.69,361.08,2564.62,8
75,361.08,2462.69,705.14,2564.62,8
76,705.14,2462.69,1559.25,2564.62,8
77,1559.25,2462.69,2509.73,2564.62,8
