degree,count
0,0
1,935
2,203
3,107
4,71
5,34
6,27
7,29
8,18
9,16
10,8
11,7
12,3
13,2
14,2
15,2
16,1
17,0
18,1
19,2
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,0
33,0
34,2
35,1
36,0
37,0
38,1
39,2
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,3
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,2
79,2
80,0
81,3
82,0
83,2
84,2
85,0
86,2
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,1
