is_NY,new,in_bib,title,url,location,date,pdf,transcription
no,yes,,"Register of baptisms in the Dutch Church at Colchester from 1645 to 1728 : Neder Duytsche Gemeinte (Colchester, England) : Free Download, Borrow, and Streaming : Internet Archive",https://archive.org/details/registerofbaptis1216nede/page/n83/mode/2up,archive.org,1645,,
no,yes,,"Register of baptisms of the French Protestant refugees settled at Thorney, Cambridgeshire, 1654-1727 : Huguenot Society of London : Free Download, Borrow, and Streaming : Internet Archive",https://archive.org/details/registerofbaptis17hugu/page/n23/mode/2up,archive.org,1654,,
no,yes,,French refugees at Cambridgeshire,https://archive.org/details/registerofbaptis17hugu/page/n23/mode/2up?q=baptisms,,,,
no,yes,,Dublin French conformist,https://archive.org/details/registersoffrenc07stpa/page/80/mode/2up,,,,
no,yes,,Dublin French non-conformist,https://archive.org/details/registersoffrenc14egli/page/32/mode/2up,,,,
no,yes,,Bristol French Churches,https://archive.org/details/registersoffrenc20hugu/page/n59/mode/2up,,,,
no,yes,,"Roman Catholic records, St. Augustine Parish, white baptisms 120 pgs, 1790-1797",https://archive.org/details/romancatholicrec02stau/page/n13/mode/2up,archive.org,1790,,
no,yes,,Protestant Church at Guisnes,https://archive.org/details/transcriptofregi3166egli/page/122/mode/2up,,,,
no,NA,,Inventory of records,https://archive.org/details/yearbookholland03yorkgoog/page/n14/mode/2up,archive.org,,,
26,yes,yes,"Baptismal and marriage registers of the old Dutch church of Kingston, Ulster County, New York : Kingston, N.Y. Reformed Dutch church. [from old catalog] : Free Download, Borrow, and Streaming : Internet Archive",https://archive.org/stream/baptismalmarriag00king#page/34/mode/2up,archive.org,no date,no,
no,yes,,"Parish registers: United States (St. Martinville, Louisiana 1756-1794 incl Indigenous and Black, approx 50 pgs)",https://heritage.canadiana.ca/view/oocihm.lac_mikan_98022,heritage.canadiana.ca,1756,no,started
,yes,,"Zions Evangelical Lutheran Church, Cobleskill, Schoharie, New York computer printout; births or christenings, 1795-1871",https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8RX5?i=28&cat=142013,,,film,
,yes,,"Reformed Dutch Church, Middleburg, Schoharie, New York computer printout; births or christenings, 1786-1865",https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8RX5?i=28&cat=221384,,,film,
,no,,Caughnawaga,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8S5J-8?i=3&cat=165735,www.familysearch.org,,film,
,yes,,Livingston Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-NFZT?i=38&cat=140703,www.familysearch.org,,film,
,no,,Schoharie Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-V3LC?i=105&cat=140711,www.familysearch.org,,film,
,yes,,Berne Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS73-M9YR-X?i=26&cat=89684,www.familysearch.org,,film,
,yes,,German Flatts DRC,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS79-1B43?mode=g&cat=141902,www.familysearch.org,,film,
,yes,,Germantown Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSLL-T3FX-P?i=123&cat=140690,www.familysearch.org,,film,
,yes,,"Reformed Protestant Dutch Church, Wynantskill, Rensselaer, New York computer printout; births or christenings, 1794-1867",https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSLL-T3J5-H?i=38&cat=141933,,,film,
,yes,,"The Protestant Presbyterian Congregation, Cambridge, Washington, New York computer printout; births or christenings, 1784-1874",https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ7-G9CC-6?i=36&cat=140754,,,film,
,yes,,Albany Presbyterian,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQCM-5?i=9&cat=410657,www.familysearch.org,,film,
,no,,Albany Lutheran ,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQCM-5?i=9&cat=410664,www.familysearch.org,,film,
,no,,Albany Lutheran ,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQQ6-R?i=12&cat=410653,www.familysearch.org,,film,
,yes,,"Saint Johns Dutch Reformed Church, Saint Johnsville, Montgomery, New York computer printout; births or christenings, 1788-1878",https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSTB-4QQN-5?i=53&cat=142021,,,film,
no,NA,,"Guide to vital statistics records of churches in New York state, exclusive of New York City",https://www.familysearch.org/library/books/records/item/328611-redirection; https://www.familysearch.org/library/books/records/item/337710-redirection; https://www.familysearch.org/library/books/records/item/268801-redirection,,,,
58,yes,yes,Baptisms from Reformed Dutch church at Success,https://www.familysearch.org/library/books/viewer/189550/?offset=0#page=103&viewer=picture&o=&n=0&q=,www.familysearch.org,no date,,
59,yes,yes,"Baptismal record of the First Reformed Dutch church at Jamaica, Long Island, New York ... 1702 to ..",https://www.familysearch.org/library/books/viewer/190936/?offset=0#page=101&viewer=picture&o=&n=0&q=,www.familysearch.org,1702,,
60,yes,yes,"Baptismal record of the Reformed Dutch Church at Oyster Bay, Long Island, New York, 1741-1846",https://www.familysearch.org/library/books/viewer/198348/?offset=0#page=101&viewer=picture&o=&n=0&q=,www.familysearch.org,1741,,
61,yes,yes,"Records of the Reformed Dutch church of Oyster Bay, L.I., 1741-1835; the Wolver Hollow Church",https://www.familysearch.org/library/books/viewer/212125/?offset=0#page=101&viewer=picture&o=&n=0&q=,www.familysearch.org,1741,,
62,yes,yes,"Records, 1757-1906, Vol. 5 New Hackensack, New York",https://www.familysearch.org/library/books/viewer/516192/?offset=0#page=20&viewer=picture&o=&n=0&q=,www.familysearch.org,1757,,
63,yes,yes,"Records of the German Reformed Church of The Camp, now Germantown, Columbia County, N.Y. : commencing September 7, 1729 and ending February 5, 1849",https://www.familysearch.org/library/books/viewer/635272/?offset=0#page=3&viewer=picture&o=&n=0&q=,www.familysearch.org,1729,,
,yes,,"Records of the Lutheran Trinity Church of Stone Arabia in the Town of Palatine, Montgomery County, N.Y. 1751-1815",https://www.familysearch.org/search/catalog/140726?availability=Family%20History%20Library,www.familysearch.org,,NYSL,
,yes,,"Records of the Reformed Dutch Church of Kinderhook in Kinderhook, Columbia County, N.Y., 1716-1864",https://www.familysearch.org/search/catalog/141893?availability=Family%20History%20Library,www.familysearch.org,,NYSL,
,yes,,"Records of the First Reformed Church of Coxsackie, Greene County, N.Y., 1732-1918",https://www.familysearch.org/search/catalog/142066?availability=Family%20History%20Library,www.familysearch.org,,NYSL,
,yes,,"Records of the Reformed Dutch Church of Amity in the village of Visscher's Ferry, town of Clifton Park, Saratoga County, N. Y.",https://www.familysearch.org/search/catalog/188075?availability=Family%20History%20Library,www.familysearch.org,,NYSL,
,yes,,"Records of the Reformed Dutch Church of Stone Arabia in the town of Palatine, Montgomery County, N.Y., 1739-1912",https://www.familysearch.org/search/catalog/216541?availability=Family%20History%20Library,www.familysearch.org,,NYSL,
,yes,,Herkimer DRC,https://www.familysearch.org/search/film/008200921?cat=141907,www.familysearch.org,,NYSL,
,no,,Schoharie DRC,https://www.familysearch.org/search/film/008624929?cat=140721,www.familysearch.org,,NYSL,
57,yes,,"Ebenezar Lutheran Church, 1794-1832, Big Creek, Lennox, Ontario",https://www.google.com/books/edition/Papers_and_Records_Ontario_Historical_So/qYMOAAAAYAAJ?hl=en&gbpv=1,www.google.com,1794,no,
no,yes,,"Image 7 of Mackinac register of baptisms and internments, 1695-1821.  | Library of Congress",https://www.loc.gov/resource/lhbum.7689h_0025_0192/?sp=7,,1695,yes,
30,yes,yes,Harlingen DRC,NYGBR,"40: 281,",,yes,
32,no,yes,Machackameck DRC (Deerpark?),NYGBR,"42: 229, 369",,yes,
38,no,yes,Machackameck DRC (Deerpark?),NYGBR,"43: 12, 141, 225, 249",,yes,
37,no,yes,Machackameck DRC (Deerpark?),NYGBR,"44: 37, 158, 379",,yes,
