url,title,search
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?344416_Saint_Pauls_Lutheran_Church_of_Wurttemberg,_Rhinebeck,_Dutchess,_New_York_computer_printout;_births_or_christenings,_1760-1874,_A_thru_A","Saint Pauls Lutheran Church of Wurttemberg, Rhinebeck, Dutchess, New York computer printout; births or christenings, 1760-1874, A thru A",https://familysearch.org/search/catalog/629127
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?345154_St._Peter%27s_Lutheran_Church,_Rhinebeck,_New_York_computer_printout,_births_and_christenings,_1733-1875","St. Peter%27s Lutheran Church, Rhinebeck, New York computer printout, births and christenings, 1733-1875",https://familysearch.org/search/catalog/10105
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347128_United_Brethern_Congregation_or_Moravian,_Staten_Island,_Richmond,_New_York_computer_printout;_births_or_christenings,_1749-1862","United Brethern Congregation or Moravian, Staten Island, Richmond, New York computer printout; births or christenings, 1749-1862",https://familysearch.org/search/catalog/11520
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347299_Vital_records_of_Cortlandtown_Reformed_Church,_Montrose,_New_York,_1741-1894","Vital records of Cortlandtown Reformed Church, Montrose, New York, 1741-1894",https://familysearch.org/search/catalog/488866
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347312_Vital_records_of_Low_Dutch_Church_of_Klyn_Esopus,_Ulster_Park,_New_York,_1791-1899_[i.e._1790-1909]","Vital records of Low Dutch Church of Klyn Esopus, Ulster Park, New York, 1791-1899 [i.e. 1790-1909]",https://familysearch.org/search/catalog/456081
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347349_Vital_records_of_the_Round_Top_Lutheran_Church,_Bethel,_Pine_Plains,_Dutchess_Co.,_NY_:_baptisms,_1760-1787;_communicants,_1763-1788","Vital records of the Round Top Lutheran Church, Bethel, Pine Plains, Dutchess Co., NY : baptisms, 1760-1787; communicants, 1763-1788",https://familysearch.org/search/catalog/740605
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347358_Vital_records_of_Woodstock_Reformed_Church,_Woodstock,_Ulster_County,_NY,_1804-1950_:_[with_some_births_as_early_as_1746],_baptisms_1805-1950,_marriages_1828-1950,_deaths_1830-1950,_members_1804-1949","Vital records of Woodstock Reformed Church, Woodstock, Ulster County, NY, 1804-1950 : [with some births as early as 1746], baptisms 1805-1950, marriages 1828-1950, deaths 1830-1950, members 1804-1949",https://familysearch.org/search/catalog/1235754
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347364_Vital_records,_1749-1786","Amenia NY Vital records, 1749-1786",https://familysearch.org/search/catalog/380341
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?205_Birth_records_St._John%27s_Church,_Yonkers,_N.Y._..._:_1777-1836","Birth records St. John%27s Church, Yonkers, N.Y. ... : 1777-1836","https://www.worldcat.org/search?qt=worldcat_org_all&q=Birth%20records%20St.%20John%27s%20Church,%20Yonkers,%20N.Y.%20...%20:%201777-1836"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?25416_First_Baptist_Church_of_Springfield,_Springfield_Center,_New_York_:_births_or_christenings,_1787-1852.","First Baptist Church of Springfield, Springfield Center, New York : births or christenings, 1787-1852.","https://www.worldcat.org/search?qt=worldcat_org_all&q=First%20Baptist%20Church%20of%20Springfield,%20Springfield%20Center,%20New%20York%20:%20births%20or%20christenings,%201787-1852."
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?25428_First_book_of_records_of_the_monthly_meeting,_Nine_Partners,_Dutchess_Co.,_New_York_:_marriages,_1769-1798_;_some_births,_1757-1792_;_some_deaths,_1770-1776_;_also,_manumission_of_slaves,_1773-1782","First book of records of the monthly meeting, Nine Partners, Dutchess Co., New York : marriages, 1769-1798 ; some births, 1757-1792 ; some deaths, 1770-1776 ; also, manumission of slaves, 1773-1782","https://www.worldcat.org/search?qt=worldcat_org_all&q=First%20book%20of%20records%20of%20the%20monthly%20meeting,%20Nine%20Partners,%20Dutchess%20Co.,%20New%20York%20:%20marriages,%201769-1798%20;%20some%20births,%201757-1792%20;%20some%20deaths,%201770-1776%20;%20also,%20manumission%20of%20slaves,%201773-1782"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?26339_Friends%27_records_of_Oblong,_Dutchess_County,_New_York_:_births,_1719?-1784,_and_a_few_deaths","Friends%27 records of Oblong, Dutchess County, New York : births, 1719?-1784, and a few deaths","https://www.worldcat.org/search?qt=worldcat_org_all&q=Friends%27%20records%20of%20Oblong,%20Dutchess%20County,%20New%20York%20:%20births,%201719?-1784,%20and%20a%20few%20deaths"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?26343_Friends%27_records_of_Plains_Monthly_Meeting,_Esopus,_Ulster_County,_New_York_:_births_1744-1858,_and_some_deaths_1813-1879,_removal_certificates_1814-1852,_marriage_certificates_1815-1848","Friends%27 records of Plains Monthly Meeting, Esopus, Ulster County, New York : births 1744-1858, and some deaths 1813-1879, removal certificates 1814-1852, marriage certificates 1815-1848","https://www.worldcat.org/search?qt=worldcat_org_all&q=Friends%27%20records%20of%20Plains%20Monthly%20Meeting,%20Esopus,%20Ulster%20County,%20New%20York%20:%20births%201744-1858,%20and%20some%20deaths%201813-1879,%20removal%20certificates%201814-1852,%20marriage%20certificates%201815-1848"
