graph_type,measure_type,clustering,path_length,density,community_count,mod_assort,deg_assort,gender_assort
archival median,standard deviation,0.083450477187714,1.47420826208511,0.009093739008584,4.1057451037714,0.113627943432701,0.038418799280129,0.07867108093294
powerlaw,standard deviation,0.038096638373446,0.178675269928238,0.016867664520661,1.24938842181742,0.035898626123967,0.031179056381121,0.004237043935384
erdos renyi,standard deviation,0.00815426871119,0.696711198909358,0.009093739008584,3.917560966797,0.067659052623989,0.005857289673499,0.002651651389936
relaxed caveman,standard deviation,0.023433265998515,0,0.006526125967288,116.031868952025,0.000776354633763,0.003005842455676,0.005798346883293
configuration degree sequence,standard deviation,0.008047146344246,0.584410247537452,0.008826002927685,3.24493781582505,0.065009756715635,0.004581343378558,0.003079905559325
random degree sequence,standard deviation,0.008650099091092,0.218893913183011,0.009065728250382,2.6599427133108,0.061520876554272,0.004041267875466,0.003658157737277
expected degree sequence,standard deviation,0.010942185948582,0,0.008998987455968,21.2525839325369,0.056054799301245,0.005714995620392,0.006223726497573
