url,title
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?344416_Saint_Pauls_Lutheran_Church_of_Wurttemberg,_Rhinebeck,_Dutchess,_New_York_computer_printout;_births_or_christenings,_1760-1874,_A_thru_A","Saint Pauls Lutheran Church of Wurttemberg, Rhinebeck, Dutchess, New York computer printout; births or christenings, 1760-1874, A thru A"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347349_Vital_records_of_the_Round_Top_Lutheran_Church,_Bethel,_Pine_Plains,_Dutchess_Co.,_NY_:_baptisms,_1760-1787;_communicants,_1763-1788","Vital records of the Round Top Lutheran Church, Bethel, Pine Plains, Dutchess Co., NY : baptisms, 1760-1787; communicants, 1763-1788"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?343811_Reformed_Dutch_Church,_New_Hackensack,_Dutchess,_New_York_computer_printout;_births,_or_christenings,_1765-1880","Reformed Dutch Church, New Hackensack, Dutchess, New York computer printout; births, or christenings, 1765-1880"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?343739_Red_Church,_Tivoli,_Dutchess,_New_York_computer_printout;_births_or_christenings,_1766-1813","Red Church, Tivoli, Dutchess, New York computer printout; births or christenings, 1766-1813"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?335815_Dutch_Reformed_Church,_Katsbaan,_Ulster,_New_York_computer_printout;_births_or_christenings,_1769-1815","Dutch Reformed Church, Katsbaan, Ulster, New York computer printout; births or christenings, 1769-1815"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?25428_First_book_of_records_of_the_monthly_meeting,_Nine_Partners,_Dutchess_Co.,_New_York_:_marriages,_1769-1798_;_some_births,_1757-1792_;_some_deaths,_1770-1776_;_also,_manumission_of_slaves,_1773-1782","First book of records of the monthly meeting, Nine Partners, Dutchess Co., New York : marriages, 1769-1798 ; some births, 1757-1792 ; some deaths, 1770-1776 ; also, manumission of slaves, 1773-1782"
https://ldsgenealogy.com/cgi-bin/libraries.cgi?53805_Quaker_births_:_New_York_Monthly_Meeting_(New_York_City)_1771_to_1826.,Quaker births : New York Monthly Meeting (New York City) 1771 to 1826.
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?205_Birth_records_St._John%27s_Church,_Yonkers,_N.Y._..._:_1777-1836","Birth records St. John's Church, Yonkers, N.Y. ... : 1777-1836"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?344396_Saint_Johns_Low_Dutch_Reformed_Church,_Upper_Red_Hook,_Dutchess,_New_York_computer_printout;_births_or_christenings,_1785-1875","Saint Johns Low Dutch Reformed Church, Upper Red Hook, Dutchess, New York computer printout; births or christenings, 1785-1875"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?25416_First_Baptist_Church_of_Springfield,_Springfield_Center,_New_York_:_births_or_christenings,_1787-1852.","First Baptist Church of Springfield, Springfield Center, New York : births or christenings, 1787-1852."
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?333562_Christs_Church,_Rye,_Westchester,_New_York_computer_printout;_births_or_christenings,_1790-1875","Christs Church, Rye, Westchester, New York computer printout; births or christenings, 1790-1875"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347312_Vital_records_of_Low_Dutch_Church_of_Klyn_Esopus,_Ulster_Park,_New_York,_1791-1899_[i.e._1790-1909]","Vital records of Low Dutch Church of Klyn Esopus, Ulster Park, New York, 1791-1899 [i.e. 1790-1909]"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?342596_Presbyterian_Church,_Pleasant_Valley,_New_York_computer_printout,_births_and_christenings,_1793-1829","Presbyterian Church, Pleasant Valley, New York computer printout, births and christenings, 1793-1829"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?9920_Births,_deaths,_marriages,_and_removal_certificates,_1795-1876","Births, deaths, marriages, and removal certificates, 1795-1876"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?336470_First_Dutch_Reformed_Church,_Rochester,_Ulster,_New_York_computer_printout;_births_or_christenings,_1795-1875","First Dutch Reformed Church, Rochester, Ulster, New York computer printout; births or christenings, 1795-1875"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?54421_Record_of_births_and_baptisms,_1797-1827","Record of births and baptisms, 1797-1827"
"https://ldsgenealogy.com/cgi-bin/FHL2-NY.cgi?347358_Vital_records_of_Woodstock_Reformed_Church,_Woodstock,_Ulster_County,_NY,_1804-1950_:_[with_some_births_as_early_as_1746],_baptisms_1805-1950,_marriages_1828-1950,_deaths_1830-1950,_members_1804-1949","Vital records of Woodstock Reformed Church, Woodstock, Ulster County, NY, 1804-1950 : [with some births as early as 1746], baptisms 1805-1950, marriages 1828-1950, deaths 1830-1950, members 1804-1949"
"https://ldsgenealogy.com/cgi-bin/libraries.cgi?53825_Quaker_marriages,_births,_deaths,_slaves,_Nine_Partners_M.M.,_Dutchess_Co.,_N.Y","Quaker marriages, births, deaths, slaves, Nine Partners M.M., Dutchess Co., N.Y"
