is_NY,url,title,location,date,pdf,transcription
,https://archive.org/details/oldeulsterhistor1914king/page/n283/mode/2up?q=%22church+records%22,Marbletown DRC Olde Ulster,,,,
,https://archive.org/details/pennsylvaniagerm2829penn/page/n51/mode/2up?q=baptisms+sponsors,Great Swamp PA German,,,,
,https://archive.org/details/pennsylvaniagerm3119penn/page/n501/mode/2up?q=baptisms+sponsors,Tohickon PA German Reformed,,,,
,https://archive.org/details/recordsofamerica01amer_0/page/n3/mode/2up; ,Philadelphia Catholic,,,,
,https://archive.org/details/recordsofamerica02amer/page/n9/mode/2up,Philadelphia Catholic,,,,
,https://archive.org/details/recordsofdutchre00wrig/page/60/mode/2up,"Records of the Dutch Reformed Church of Port Richmond, S.I., baptisms from 1696 to 1772; United Brethren Congregation, commonly called Moravian Church, S.I., births and baptisms: 1749 to 1853, marriages: 1764 to 1863, deaths and burials: 1758 to 1828; St. Andrew's Church, Richmond, S.I., births and baptisms from 1752 to 1795, marriages from 1754 to 1808. With portrait of Rev. Melatiah Everett Dwight .. : Wright, Tobias Alexander, ed : Free Download, Borrow, and Streaming : Internet Archive",archive.org,1696,,
,https://archive.org/details/recordsoffrenchc00unse/page/n47/mode/2up,"Records of the French Church at Narragansett, 1686-1691 : Free Download, Borrow, and Streaming : Internet Archive",archive.org,1686,,
,https://archive.org/details/recordsofreforme0001unse,Hackensack,archive.org,,,
,https://archive.org/details/recordsofreforme00refo_0/page/n5/mode/2up?q=%22woodward+vosburgh%22,"Records of the Reformed Dutch Church in Oak Hill in the town of Durham, Greene County, N.Y. : Reformed Dutch Church in Oak Hill (Durham, N.Y.) : Free Download, Borrow, and Streaming : Internet Archive",archive.org,no date,,
,https://archive.org/details/recordsofrevjohn01stoe,"Records of Rev. John Casper Stoever : baptismal and marriage, 1730-1779 : Stoever, Johann Casper, 1707-1779 : Free Download, Borrow, and Streaming : Internet Archive",archive.org,1730,,
,https://archive.org/details/recordsreformed00versgoog/page/n6/mode/2up,New Paltz DRC,archive.org,,,
