graph_type,clustering,density,community_segregation,degree_segregation,gender_segregation
archival median,0.719,0.008512581488553,0.827134623916248,0.012223882296869,-0.238136305187155
powerlaw,0.055975,0.015135581229339,0.307874265352509,-0.064175260071377,-0.002834555273683
erdos renyi,0.008275,0.008512581488553,0.425339895033155,-0.002459671005332,-0.000418632646865
relaxed caveman,0.976785,0.006442782286496,0.999917288954472,0.000846666862176,-0.002643123279905
configuration degree sequence,0.019465,0.008433143322537,0.432075195584142,-0.014073436751342,-0.002183938315126
random degree sequence,0.02097,0.008549042580456,0.435614834674302,-0.017480163595299,-0.001347517476679
expected degree sequence,0.02309,0.008520850876872,0.423523663754369,-0.009578032294809,-0.004441475282684
