congregation,graph type,measure type,clustering,path length,density,community count,mod assort,deg assort,gender assort
huguenot-nyc,configuration,greater,0,0,0,1,0,1,100
huguenot-nyc,configuration,average,0.01365,3.6508,0.004362867146973,17.93,0.42550496482629,-0.010213927893591,-3.24857885514027E-05
rensl-lutheran,configuration,greater,0,0,0,0,0,7,100
rensl-lutheran,configuration,average,0.01084,4.02549,0.008485824820903,14.8,0.494012713636793,-0.013466929159291,0.001729116577861
schoharie-lutheran,configuration,greater,0,0,0,73,0,17,100
schoharie-lutheran,configuration,average,0.02081,3.45063,0.009927461139896,14.11,0.438645426341994,-0.009400941514483,-0.004683129374612
albany-lutheran,random deg seq,greater,0,0,100,0,0,64,100
albany-lutheran,random deg seq,average,0.02159,3.71259,0.01642094560244,11.87,0.511405431445173,-0.015528895186288,-0.006297689252306
detroit-catholic,random deg seq,greater,0,0,100,4,0,0,100
detroit-catholic,random deg seq,average,0.02936,3.35846,0.007963235886373,14.5,0.366936821746423,-0.022971428159363,0.001160274520381
