degree,count
0,0
1,0
2,12
3,296
4,18
5,64
6,71
7,33
8,28
9,36
10,19
11,25
12,27
13,10
14,12
15,12
16,9
17,8
18,13
19,7
20,5
21,4
22,4
23,2
24,3
25,1
26,4
27,3
28,2
29,3
30,4
31,0
32,1
33,2
34,0
35,3
36,1
37,1
38,1
39,3
40,3
41,0
42,3
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
