,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1683,1,drc-albany,dutch reformed,0.037296037296037296,0.701,-0.4285714285714284,0.09001956947162264,0.5800524934383197,7,4,0.3,0.4,0.0,46,20,66,0.36363636363636365,0.30303030303030304
1,1684,2,drc-albany,dutch reformed,0.01287085514834206,0.587,-0.4047619047619046,0.06291715102989719,0.4184389564472065,27,11,0.288135593220339,0.423728813559322,0.0,134,58,192,0.2894736842105263,0.3020833333333333
2,1685,3,drc-albany,dutch reformed,0.009388771795363097,0.604,-0.3709815565579855,0.028094882045062358,0.28936092290789356,55,16,0.2777777777777778,0.4399092970521542,0.0045351473922902496,209,98,307,0.22535211267605634,0.31921824104234525
3,1686,4,drc-albany,dutch reformed,0.007310009267840593,0.586,-0.37738616065252223,0.03913379171474966,0.25743235830898265,67,15,0.28129952456418383,0.4326465927099842,0.004754358161648178,271,145,416,0.18292682926829268,0.3485576923076923
4,1687,5,drc-albany,dutch reformed,0.0066041409748815475,0.58,-0.3720118023645841,0.035011718989478566,0.30217771798016474,74,17,0.27702702702702703,0.44226044226044225,0.0036855036855036856,321,176,497,0.18681318681318682,0.35412474849094566
5,1688,6,drc-albany,dutch reformed,0.006331427467911801,0.589,-0.3791173586139265,0.03337345711408031,0.28509425898665547,82,17,0.2815904139433551,0.4324618736383442,0.004357298474945534,339,200,539,0.1717171717171717,0.37105751391465674
6,1689,7,drc-albany,dutch reformed,0.005856410256410256,0.568,-0.3675866788321169,0.05976920954867599,0.27412562965787984,86,17,0.27583187390542907,0.44395796847635727,0.0043782837127845885,393,232,625,0.1650485436893204,0.3712
7,1690,8,drc-albany,dutch reformed,0.005638399490554022,0.561,-0.37078917312208254,0.06086628885258234,0.33481070364729926,85,20,0.2784313725490196,0.43529411764705883,0.004705882352941176,421,250,673,0.19047619047619047,0.37147102526002973
8,1691,9,drc-albany,dutch reformed,0.005227073122361674,0.564,-0.32739271498667794,0.04709328442857684,0.3783403345045072,92,19,0.2801490514905149,0.4146341463414634,0.022357723577235773,452,298,752,0.17117117117117117,0.3962765957446808
9,1692,10,drc-albany,dutch reformed,0.00495778959108412,0.546,-0.28168187698376207,0.02292148787854227,0.38920617875224406,89,27,0.28407224958949095,0.3820470717022441,0.047619047619047616,494,363,859,0.23275862068965517,0.42258440046565776
10,1693,11,drc-albany,dutch reformed,0.0047437293144983236,0.612,-0.25257946224981864,0.002723410092819594,0.42719270729279907,77,28,0.28640552995391705,0.3576036866359447,0.06774193548387097,533,422,957,0.26666666666666666,0.44096133751306166
11,1694,12,drc-albany,dutch reformed,0.0047360225636807005,0.581,-0.23854340045072253,-0.0056876489270214345,0.4259307362934777,72,21,0.28680727874276263,0.3469809760132341,0.07775020678246485,551,458,1011,0.22580645161290322,0.4530168150346192
12,1695,13,drc-albany,dutch reformed,0.004744705729505002,0.585,-0.22678278324472886,-0.015759607696199024,0.427625978494987,68,25,0.28806133625410735,0.3333333333333333,0.08908360715589632,575,498,1075,0.26881720430107525,0.46325581395348836
13,1696,14,drc-albany,dutch reformed,0.004623324273979296,0.567,-0.21842920706049387,-0.01372802905252784,0.41338697606776836,66,28,0.2876486129458388,0.32859973579920737,0.09478203434610304,608,535,1145,0.2978723404255319,0.4672489082969432
14,1697,15,drc-albany,dutch reformed,0.004663484787956519,0.588,-0.2168877035198784,-0.0021168184158604298,0.3820797001974862,63,26,0.28929966937180646,0.31980763450556055,0.1003907424105801,629,564,1195,0.29213483146067415,0.4719665271966527
15,1698,16,drc-albany,dutch reformed,0.0045946521137679944,0.592,-0.21918429512469578,0.0014230077033766453,0.373215299902754,66,26,0.2907361455748553,0.315136476426799,0.10228839261097325,666,589,1257,0.2826086956521739,0.46857597454256167
16,1699,17,drc-albany,dutch reformed,0.0044880477876293986,0.59,-0.21754997833346662,0.006081511291133541,0.3717122516128748,69,26,0.2914368268978198,0.3102180194378776,0.10585763068032572,685,616,1303,0.2736842105263158,0.4727551803530315
17,1700,18,drc-albany,dutch reformed,0.004204436755775377,0.58,-0.21648068165315895,0.004762316920475448,0.38483053628384434,67,26,0.2920217803030303,0.30634469696969696,0.10866477272727272,745,671,1418,0.27956989247311825,0.47320169252468264
18,1701,19,drc-albany,dutch reformed,0.0039999014325719584,0.574,-0.20924594160631008,0.002204304642154176,0.380421366770852,74,28,0.2906490649064907,0.30627062706270625,0.11155115511551156,796,710,1508,0.27450980392156865,0.4708222811671088
19,1702,20,drc-albany,dutch reformed,0.003845242005291343,0.583,-0.20454873894523132,0.002735773422742201,0.3648374913511117,76,25,0.29055714870954524,0.30192544039328145,0.11614092585006144,830,762,1594,0.24752475247524752,0.4780426599749059
20,1703,21,drc-albany,dutch reformed,0.00381319008512339,0.555,-0.19998540496862924,0.002886922892183618,0.3506390080080432,69,26,0.2899961817487591,0.30011454753722794,0.11912943871706758,860,796,1658,0.2736842105263158,0.48009650180940894
21,1704,22,drc-albany,dutch reformed,0.003783469350052298,0.547,-0.19478726169749988,0.003352258230495714,0.34503840341201875,66,28,0.28979851152659286,0.2953349065166092,0.12434198584135052,878,827,1707,0.2978723404255319,0.4844756883421207
22,1705,23,drc-albany,dutch reformed,0.003790387846407238,0.521,-0.19251829828487474,-0.0006666377132765307,0.33678426062342204,64,24,0.29067737430167595,0.28718575418994413,0.13076117318435754,881,856,1739,0.2727272727272727,0.49223691776883266
