,year,density,clustering,preferential_edges,jacc_edges
0,1747,0.21428571428571427,0.397,0.0,0.0
1,1748,0.09090909090909091,0.787,0.01,0.01
2,1749,0.046511627906976744,0.63,0.0,0.0
3,1750,0.04081632653061224,0.58,0.0,0.0
4,1751,0.033282130056323606,0.594,0.0,0.0
5,1752,0.02666666666666667,0.521,0.0,0.0
6,1753,0.022420498741706704,0.529,0.0,0.0
7,1754,0.020724421209858103,0.562,0.0,0.01
8,1755,0.02027861047434315,0.571,0.01,0.0
9,1756,0.02054361567635904,0.589,0.0,0.01
10,1757,0.017307892816181836,0.593,0.0,0.03
11,1758,0.016070640176600443,0.583,0.0,0.0
12,1759,0.015644654088050314,0.633,0.0,0.01
13,1760,0.015188024826579043,0.578,0.0,0.0
14,1761,0.014449638759031025,0.632,0.0,0.01
15,1762,0.013941562950697078,0.612,0.0,0.0
16,1763,0.013145670754366406,0.603,0.0,0.0
17,1764,0.012202253323457176,0.577,0.0,0.0
18,1765,0.011936530833032817,0.577,0.0,0.01
19,1766,0.011656001044795613,0.605,0.0,0.0
20,1767,0.011377263022432804,0.61,0.0,0.04
21,1768,0.011641615089890952,0.614,0.0,0.02
22,1769,0.012236767216846899,0.619,0.0,0.06
23,1770,0.012809026049444169,0.65,0.0,0.01
24,1771,0.012825495530509134,0.635,0.0,0.02
25,1772,0.01288056206088993,0.645,0.0,0.0
26,1773,0.0128902707604612,0.648,0.0,0.01
27,1774,0.013174273858921162,0.633,0.0,0.0
28,1775,0.013692946058091286,0.647,0.0,0.01
29,1776,0.01308112177677395,0.65,0.0,0.03
30,1777,0.013099601593625498,0.648,0.0,0.01
31,1778,0.013419093639806713,0.662,0.0,0.01
32,1779,0.01376210235131397,0.661,0.0,0.0
33,1780,0.014554411106135244,0.626,0.0,0.03
34,1781,0.014517092103299,0.629,0.0,0.0
35,1782,0.014684287812041116,0.651,0.0,0.01
36,1783,0.014734144778987828,0.611,0.0,0.01
37,1784,0.014826485678503616,0.599,0.0,0.0
38,1785,0.015403652500426693,0.599,0.0,0.03
39,1786,0.015604041849235447,0.592,0.0,0.0
40,1787,0.01572112098427888,0.553,0.01,0.03
41,1788,0.015243187467754795,0.498,0.0,0.03
42,1789,0.015235971757710888,0.528,0.0,0.01
43,1790,0.014888670303138693,0.534,0.01,0.0
44,1791,0.01438415159345392,0.534,0.0,0.01
45,1792,0.015723270440251572,0.564,0.0,0.04
46,1793,0.014907283965579929,0.564,0.0,0.03
47,1794,0.014997277030706715,0.506,0.0,0.02
48,1795,0.015727391874180863,0.562,0.02,0.06
49,1796,0.015474896761573572,0.572,0.0,0.04
50,1797,0.01610229694529955,0.56,0.0,0.01
51,1798,0.01712557042506281,0.585,0.0,0.01
52,1799,0.017617921873241023,0.581,0.01,0.04
53,1800,0.0177109440267335,0.601,0.0,0.03
54,1801,0.018760245279582297,0.62,0.0,0.0
55,1802,0.017882812949226612,0.629,0.0,0.02
56,1803,0.018409191899955563,0.63,0.0,0.0
