degree,count
0,0
1,73
2,46
3,465
4,117
5,78
6,60
7,54
8,47
9,56
10,32
11,32
12,16
13,26
14,18
15,16
16,17
17,11
18,9
19,10
20,7
21,4
22,8
23,3
24,2
25,0
26,2
27,3
28,2
29,1
30,2
31,0
32,4
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
