Column,title,search,details 1,details 2,details 4,notes,from
9,"First Dutch Reformed Church, Marbletown, Ulster, New York computer printout; births or christenings, 1746-1798",https://familysearch.org/search/catalog/466313,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1975","C-50550-1
Extracted from: Baptisms of the First Dutch Reformed Church, Marbletown, Ulster County, N. Y. 1746-1767. 974.734/M1 K2z.","Baptisms of the First Dutch Reformed Church, Marbletown, Ulster County, N. Y. 1746-1767. 974.734/M1 K2z"
59,"Pennsylvania births, Philadelphia County, 1644-1765, 1766-1780",https://www.familysearch.org/search/catalog/187597?availability=Family%20History%20Library,John T. Humphrey,Books/Monographs,English,"Alphabetically arranged in each volume.
""This work was prepared as an aid for genealogical research in Philadelphia County, Pennsylvania, church records"" -- Pref.
Records taken from: Gloria Dei, Old Swedes, or Wicaco Church (established 1642); Philadelphia Friends Monthly Meeting (est. 1682); Christ Church (est. 1695); First Presbyterian Church (est. 1698); Second Presbyterian Church (est. 1743); Pennypack Baptist Church in Lower Dublin Township (est. 1688); First Moravian Church (est. 1742); St. Michael's (est. 1728) and Zion (est. 1766) Lutheran Church, Philadelphia; First Reformed Church, Philadelphia (est. 1727); St. Michael's Lutheran Church in Germantown (est. 1738); German Reformed Church in Germantown (est. 1727); St. Joseph's Catholic Church (est. 1733); Trinity Episcopal Church in Oxford Township (est. 1698); First Baptist Church in Philadelphia (est. 1762); Friends Monthly Meeting, Pine and Orange Streets (records from 1730s); Scots Presbyterian Church (est. 1767); Personal register of Rev. Blackwell (records from 1750s); Northern District Monthly Meeting at 6th and Noble Sts. (records from 1750s); Southern District Monthly Meeting (records from 1730s); St. Paul's Protestant Episcopal Church (est. 1760); St. George's Methodist Episcopal Church (est. 1769).
Library has: 1644-1765 and 1766-1780.","Birth index; southeastern Pennsylvania, 1680-1800 / Humphrey, John T"
98,"First Congregational Church, Westmoreland, Oneida, New York computer printout, births or christenings, 1792-1821",https://www.familysearch.org/search/catalog/8566?availability=Family%20History%20Library,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50708-1
Extracted from book no.: 974.7 A1 no. 24.",book no.: 974.7 A1 no. 24
14,"Red Church, Tivoli, Dutchess, New York computer printout; births or christenings, 1766-1813",https://familysearch.org/search/catalog/289326,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50742-1
Extracted from book no.: 974.73 V2k.
May circulate to family history centers but not on indefinite   loan. Copies already on indefite loan may remain.",book no.: 974.73 V2k
21,"Saint Johns Low Dutch Reformed Church, Upper Red Hook, Dutchess, New York computer printout; births or christenings, 1785-1875",https://familysearch.org/search/catalog/288958,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50745-1
Extracted from book no.: 974.73 V2k.
May circulate to family history centers but not on indefinite   loan. Copies already on indefinite loan may remain.",book no.: 974.73 V2k
101,"Associated Reformed Presbyterian Church, Graham, Orange, New York computer printout; births or christenings, 1797-1857",https://www.familysearch.org/search/catalog/9116?availability=Family%20History%20Library,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50693-1
Extracted from book no.: 974.731/G1 V2t. [No longer available].","book no.: 974.731/G1 V2t. Graham Church record and United Presbyterian Church record, Pine Bush, Orange County, New York / Barber, Gertrude A. (Gertrude Audrey)"
99,"Graham and United Presbyterian Church, Pine Bush, Orange, New York computer printout; births or christenings, 1794-1857",https://www.familysearch.org/search/catalog/8607?availability=Family%20History%20Library,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50709-1
Extracted from book no.: 974.731/P2 K2b.","book no.: 974.731/P2 K2b. Graham Church record and United Presbyterian Church record, Pine Bush, Orange County, New York / Barber, Gertrude A. (Gertrude Audrey)"
72,"First Congregational Church (formerly Narrow Falls and Middlebrook Church), Lumberland, Sullivan, New York computer printout; births or : christenings, 1787-1874",https://www.familysearch.org/search/catalog/288991?availability=Family%20History%20Library,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50748-1
Extracted from book no.: 974.735 V2bs v. 2.
May circulate to family history centers but not on indefinite loan.   Copies already on indefinite loan may remain.",book no.: 974.735 V2bs v. 2
18,"Reformed Dutch Church, Shawangunk Township, Ulster, New York computer printout; births or christenings, 1750-1866",https://familysearch.org/search/catalog/289443,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50710-1
Extracted from book or microfilm no.: 974.7 C4L 1829-1829, 017922.
May circulate to family history centers but not on indefinite loan.   Copies already on indefinite loan may remain.","book or 974.7 C4L 1829-1829, 017922"
82,"Presbyterian Church, Hamptonburgh Twp., Orange, New York computer printout; births or christenings, 1796-1875",https://www.familysearch.org/search/catalog/4598?availability=Family%20History%20Library,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1977","C-50654-1
Extracted from book or microfilm no.: 974.731/C2 V2h or 823668.",book or 974.731/C2 V2h or 823668
