Column,title,search,details 1,details 2,details 4,notes,from
,"Zions Evangelical Lutheran Church, Cobleskill, Schoharie, New York computer printout; births or christenings, 1795-1871",https://www.familysearch.org/search/catalog/11312?availability=Family%20History%20Library,,,,,
,"Congregational Church, Greenfield, Saratoga, New York computer printout; births or christenings, 1792-1814",https://www.familysearch.org/search/catalog/11547?availability=Family%20History%20Library,,,,,
,"Saint Marks Church, New York, New York, New York computer printout; births or christenings, 1787-1842",https://www.familysearch.org/search/catalog/11690?availability=Family%20History%20Library,,,,,
,"Vital records, Reformed Church, Middleburgh, N.Y., 1797-1899",https://www.familysearch.org/search/catalog/124751?availability=Family%20History%20Library,,,,,
,"A Register of births, baptisms, marriages ... deaths and removals in the Presbyterian Church at Schenectady ... 1796-1860",https://www.familysearch.org/search/catalog/131002?availability=Family%20History%20Library,,,,,
,Stone Arabia Lutheran,https://www.familysearch.org/search/catalog/140726?availability=Family%20History%20Library,,,,,
,Kinderhook DRC,https://www.familysearch.org/search/catalog/141893?availability=Family%20History%20Library,,,,,
,Coxsackie DRC,https://www.familysearch.org/search/catalog/142066?availability=Family%20History%20Library,,,,,
,"Presbyterian births recorded Jamaica, Long Island, New York; Presbyterian marriages at Jamaica, Long Island, New York, 1775-1848",https://www.familysearch.org/search/catalog/167191?availability=Family%20History%20Library,,,,,
,"Guide to vital statistics records of churches in New York state, exclusive of New York City",https://www.familysearch.org/search/catalog/180970?availability=Family%20History%20Library,,,,,
,"Pennsylvania births, Philadelphia County, 1644-1765, 1766-1780",https://www.familysearch.org/search/catalog/187597?availability=Family%20History%20Library,,,,,
,Vischer's Ferry DRC,https://www.familysearch.org/search/catalog/188075?availability=Family%20History%20Library,,,,,
,Stone Arabia DRC,https://www.familysearch.org/search/catalog/216541?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church at Clarkstown, Rockland County, New York : births & baptisms, 1795-1849",https://www.familysearch.org/search/catalog/277784?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church, Cherry Valley, Otsego, New York computer printout; births or christenings, 1799-1849",https://www.familysearch.org/search/catalog/280676?availability=Family%20History%20Library,,,,,
,"The Paris Religious Society, Paris, Oneida, New York computer printout; births or christenings, 1795-1855",https://www.familysearch.org/search/catalog/281732?availability=Family%20History%20Library,,,,,
,"The Protestant Presbyterian Congregation, Cambridge, Washington, New York computer printout; births or christenings, 1784-1874",https://www.familysearch.org/search/catalog/282572?availability=Family%20History%20Library,,,,,
,"First Baptist Church of Springfield, Springfield Center, Otsego, New York computer printout; births or christenings, 1787-1852",https://www.familysearch.org/search/catalog/282651?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church called Christs Church, Ghent, Columbia, New York computer printout; births or christenings, 1775-1875",https://www.familysearch.org/search/catalog/282768?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church, Mayfield, Fulton, New York computer printout; births or christenings, 1792-1821",https://www.familysearch.org/search/catalog/282772?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church of West Galway, Perth, Fulton, New York computer printout; births or christenings, 1793-1875",https://www.familysearch.org/search/catalog/282775?availability=Family%20History%20Library,,,,,
,"Irregular congregation, Tappan, Rockland, New York computer printout; births or christenings, 1766-1778",https://www.familysearch.org/search/catalog/283014?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church at Ballston, Ballston Center, Saratoga, New York computer printout; births or christenings, 1783-1865",https://www.familysearch.org/search/catalog/283079?availability=Family%20History%20Library,,,,,
,"First United Presbyterian Congregation, Cambridge, Washington, New York computer printout; births or christenings, 1794-1871",https://www.familysearch.org/search/catalog/283083?availability=Family%20History%20Library,,,,,
,"First Congregational Church (formerly Narrow Falls and Middlebrook Church), Lumberland, Sullivan, New York computer printout; births or : christenings, 1787-1874",https://www.familysearch.org/search/catalog/288991?availability=Family%20History%20Library,,,,,
,"Vital records of Trinity Lutheran Church, West Sand Lake, N.Y., 1784-1899",https://www.familysearch.org/search/catalog/294294?availability=Family%20History%20Library,,,,,
,"Quaker records from Duanesburgh, later called Butternuts, Otsego County, New York : births 1778 to 1861, deaths 1809-1869",https://www.familysearch.org/search/catalog/380382?availability=Family%20History%20Library,,,,,
,"Gilead Evangelical Lutheran Church at Center Brunswick, Brunswick, Rensselaer, New York computer printout; births or christenings, 1777-1859",https://www.familysearch.org/search/catalog/4116?availability=Family%20History%20Library,,,,,
,"High and Low Dutch Reformed Congregation, Schoharie, Schoharie, New York computer printout; births or christenings, 1728-1873",https://www.familysearch.org/search/catalog/4151?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church, Genoa, Cayuga, New York computer printout; births or christenings, 1799-1853",https://www.familysearch.org/search/catalog/4185?availability=Family%20History%20Library,,,,,
,"Reformed Church, Bethlehem Township, Albany, New York computer printout; births or christenings, 1799-1871",https://www.familysearch.org/search/catalog/4196?availability=Family%20History%20Library,,,,,
,"First Lutheran, Albany, Albany, New York computer printout; births or christenings, 1774-1875",https://www.familysearch.org/search/catalog/4376?availability=Family%20History%20Library,,,,,
,"Saint Paul Lutheran Evangelical, Berne, Albany, New York computer printout; births or christenings, 1790-1874",https://www.familysearch.org/search/catalog/4403?availability=Family%20History%20Library,,,,,
,"Presbyterian, New Scotland, Albany, New York computer printout; births or christenings, 1784-1873",https://www.familysearch.org/search/catalog/4466?availability=Family%20History%20Library,,,,,
,"Presbyterian Church, Hamptonburgh Twp., Orange, New York computer printout; births or christenings, 1796-1875",https://www.familysearch.org/search/catalog/4598?availability=Family%20History%20Library,,,,,
,"First Presbyterian, Albany, Albany, New York computer printout; births or christenings, 1785-1870",https://www.familysearch.org/search/catalog/462850?availability=Family%20History%20Library,,,,,
,"Boght, Becker Dutch Reformed Church, Colonie, Albany, New York computer printout; births or christenings, 1784-1896",https://www.familysearch.org/search/catalog/462858?availability=Family%20History%20Library,,,,,
,"Reformed Church, Coeymans, Albany, New York computer printout, births or christenings, 1793-1845",https://www.familysearch.org/search/catalog/463626?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church, Blenheim, Schoharie, New York computer printout; births or christenings, 1794-1825",https://www.familysearch.org/search/catalog/463810?availability=Family%20History%20Library,,,,,
,"Saint Peters Episcopal, Hobart, Delaware, New York computer printout; births or christenings, 1794-1876",https://www.familysearch.org/search/catalog/464233?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church, Broadalbin, Fulton, New York computer printout; births or christenings, 1799-1860",https://www.familysearch.org/search/catalog/464273?availability=Family%20History%20Library,,,,,
,"Presbyterian Church, New Hartford, Oneida, New York computer printout; births or christenings, 1791-1872",https://www.familysearch.org/search/catalog/464306?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church, Hillsdale, Columbia, New York computer printout; births or christenings, 1776-1849",https://www.familysearch.org/search/catalog/465381?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church, Clarkstown Twp., Rockland, New York computer printout; births or christenings, 1795-1849",https://www.familysearch.org/search/catalog/466324?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church, Babylon, Suffolk, New York computer printout; births or christenings, 1798-1857",https://www.familysearch.org/search/catalog/466431?availability=Family%20History%20Library,,,,,
,"Names of black babies born to slaves in Vernon, New York",https://www.familysearch.org/search/catalog/530554?availability=Family%20History%20Library,,,,,
,"Reformed Church, Gallatin, New York computer printout; births and christenings, 1748-1875",https://www.familysearch.org/search/catalog/5391?availability=Family%20History%20Library,,,,,
,"Vital records of Niskayuna Reformed Church, Schenectady, N.Y., 1783-1861",https://www.familysearch.org/search/catalog/59823?availability=Family%20History%20Library,,,,,
,"Vital records of Wynantskill Reformed Church, Rensselaer County, New York, 1794-1889 — FamilySearch.org",https://www.familysearch.org/search/catalog/655708?availability=Family%20History%20Library,,,,,
,"Lutheran Church, West Sand Lake, Rensselaer, New York computer printout; births or christenings, 1784-1868",https://www.familysearch.org/search/catalog/7091?availability=Family%20History%20Library,,,,,
,"First Congregational Church, Westmoreland, Oneida, New York computer printout, births or christenings, 1792-1821",https://www.familysearch.org/search/catalog/8566?availability=Family%20History%20Library,,,,,
,"Graham and United Presbyterian Church, Pine Bush, Orange, New York computer printout; births or christenings, 1794-1857",https://www.familysearch.org/search/catalog/8607?availability=Family%20History%20Library,,,,,
,"Parish registers, 1760-1910",https://www.familysearch.org/search/catalog/87241?availability=Family%20History%20Library,,,,,
,"Associated Reformed Presbyterian Church, Graham, Orange, New York computer printout; births or christenings, 1797-1857",https://www.familysearch.org/search/catalog/9116?availability=Family%20History%20Library,,,,,
,"West Copake, New York Church record printout; births and christenings, 1783-1875",https://www.familysearch.org/search/catalog/9776?availability=Family%20History%20Library,,,,,
,"Reformed Church, Germantown, New York computer printout; births and christenings, 1729-1875",https://www.familysearch.org/search/catalog/9780?availability=Family%20History%20Library,,,,,
,"Reformed Church, Claverack, New York computer printout; births and christenings, 1727-1875",https://www.familysearch.org/search/catalog/9792?availability=Family%20History%20Library,,,,,
,"St. Thomas Lutheran Church, Churchtown, New York computer printout; births and christenings, 1760-1869",https://www.familysearch.org/search/catalog/9817?availability=Family%20History%20Library,,,,,
,Herkimer DRC,https://www.familysearch.org/search/film/008200921?cat=141907,,,,,
,Schoharie DRC,https://www.familysearch.org/search/film/008624929?cat=140721,,,,,
,"Amawalk, Westchester County, New York, Friends Monthly Meeting records : births, marriages and deaths, 1724-1908",https://www.worldcat.org/title/amawalk-westchester-county-new-york-friends-monthly-meeting-records-births-marriages-and-deaths-1724-1908/oclc/475071789&referer=brief_results,,,,,
,"Birth records St. John%27s Church, Yonkers, N.Y. ... : 1777-1836",https://www.worldcat.org/title/birth-records-st-johns-church-yonkers-ny-1777-1836/oclc/58766512&referer=brief_results,,,,,
,"Records of the Evangelical Lutheran Church Ramapo, New Jersey ",https://www.worldcat.org/title/church-book-of-the-ramapo-evangelical-lutheran-church-mahwah-nj-1749-1817/oclc/866052239,,,,,
,"First Baptist Church of Springfield, Springfield Center, New York : births or christenings, 1787-1852.",https://www.worldcat.org/title/first-baptist-church-of-springfield-springfield-center-new-york-births-or-christenings-1787-1852/oclc/887009295&referer=brief_results,,,,,
,"First book of records of the monthly meeting, Nine Partners, Dutchess Co., New York : marriages, 1769-1798 ; some births, 1757-1792 ; some deaths, 1770-1776 ; also, manumission of slaves, 1773-1782",https://www.worldcat.org/title/first-book-of-records-of-the-monthly-meeting-nine-partners-dutchess-co-new-york-marriages-1769-1798-some-births-1757-1792-some-deaths-1770-1776-also-manumission-of-slaves-1773-1782/oclc/123528062&referer=brief_results,,,,,
,"Friends%27 records of Oblong, Dutchess County, New York : births, 1719?-1784, and a few deaths",https://www.worldcat.org/title/friends-records-of-oblong-dutchess-county-new-york-births-1719-1784-and-a-few-deaths/oclc/123528089&referer=brief_results,,,,,
,"Friends%27 records of Plains Monthly Meeting, Esopus, Ulster County, New York : births 1744-1858, and some deaths 1813-1879, removal certificates 1814-1852, marriage certificates 1815-1848",https://www.worldcat.org/title/friends-records-of-plains-monthly-meeting-esopus-ulster-county-new-york-births-1744-1858-and-some-deaths-1813-1879-removal-certificates-1814-1852-marriage-certificates-1815-1848/oclc/123528527&referer=brief_results,,,,,
,"Friends%27 records of Purchase, Westchester Co., New York : births, 1703-1789 ; deaths, 1724-1790",https://www.worldcat.org/title/friends-records-of-purchase-westchester-co-new-york-births-1703-1789-deaths-1724-1790/oclc/123528280&referer=brief_results,,,,,
,Baptismal Register 1756-1774 from THE OLD DUTCH CHURCH AT TOTOWA NJ,https://www.worldcat.org/title/history-of-the-old-dutch-church-at-totowa-paterson-new-jersey-1755-1827-baptismal-register-1756-1808/oclc/1189828110,,,,,
,"Pennsylvania German church records of births, baptisms, marriages, burials, etc. : from the Pennsylvania German Society proceedings and addresses - Research Collections – LancasterHistory",https://www.worldcat.org/title/pennsylvania-german-church-records-of-births-baptisms-marriages-burials-etc-from-the-pennsylvania-german-society-proceedings-and-addresses-vol-3/oclc/63712944&referer=brief_results,,,,,
,Quaker births : New York Monthly Meeting (New York City) 1771 to 1826.,https://www.worldcat.org/title/quaker-births-new-york-monthly-meeting-new-york-city-1771-1902/oclc/466803952&referer=brief_results,,,,,
,"Quaker marriages, births, deaths, slaves, Nine Partners M.M., Dutchess Co., N.Y",https://www.worldcat.org/title/quaker-marriages-births-deaths-slaves-nine-partners-mm-dutchess-co-ny/oclc/29455728&referer=brief_results,,,,,
,"Record of births and baptisms, 1797-1827",https://www.worldcat.org/title/records-of-births-and-baptisms-1797-1827-christ-church-cooperstown-otsego-county-ny/oclc/77488986&referer=brief_results,,,,,
,"Records of the Lutheran Trinity Church of Stone Arabia in the town of Palatine, Montgomery County, N.Y.",https://www.worldcat.org/title/records-of-the-lutheran-trinity-church-of-stone-arabia-in-the-town-of-palatine-montgomery-county-ny/oclc/39103463,,,,,
,"Records of the Reformed Dutch Church of Bergen, N.J",https://www.worldcat.org/title/records-of-the-reformed-dutch-church-of-bergen-nj-now-jersey-city-containing-an-account-of-the-founding-of-the-town-the-early-families-and-the-registers-of-consistories-members-marriages-baptisms-and-burials/oclc/4224583&referer=brief_results,,,,,
,"Records of Baptisms of the Reformed Church at Machackemeck (Deerpark), Orange County New York 1716-1742",https://www.worldcat.org/title/records-of-the-reformed-dutch-church-of-machackemeck-town-of-deerpark-port-jervis-orange-county-ny-1716-1827/oclc/866189367&referer=brief_results,,,,,
,"Records of the Reformed Dutch churches of Hackensack and Schraalenburgh, New Jersey",https://www.worldcat.org/title/records-of-the-reformed-dutch-churches-of-hackensack-and-schraalenburgh-new-jersey-with-registers-of-members-marriages-batisms-and-the-consistories-to-the-beginning-of-the-nineteenth-century/oclc/1844136,,,,,
,"Register of baptisms 1701-1746, First Presbyterian Church of Philadelphia. (Article, 1954) [WorldCat.org]",https://www.worldcat.org/title/register-of-baptisms-1701-1746-first-presbyterian-church-of-philadelphia/oclc/31331830,,,,,
,"Répertoire des baptêmes de la paroisse Immaculée-Conception de Trois-Rivières, 1635-1799",https://www.worldcat.org/title/repertoire-des-baptemes-de-la-paroisse-immaculee-conception-de-trois-rivieres-1635-1799/oclc/52878662&referer=brief_results,,,,,
,"St. Michael's Evangelical Lutheran Church Germantown (Now Part of Philadelphia) Pennsylvania 1741-1841 Volume 1: Weiser, Frederick S. and Debra D. Smith: Books",https://www.worldcat.org/title/st-michaels-evangelical-lutheran-church-germantown-now-part-of-philadelphia-pennsylvania-1741-1841/oclc/866723242,,,,,
,"York County Pennsylvania Church Records of the 18th Century, Volume 2: Marlene Strawser Bates and F. Edward Wright: Books - Amazon",https://www.worldcat.org/title/york-county-pennsylvania-church-records-of-the-18th-century/oclc/25654406,,,,,
