,year,density,clustering,preferential_edges,jacc_edges
0,1786,0.0846774193548387,0.883,0.0,0.0
1,1787,0.021636506687647522,0.755,0.0,0.0
2,1788,0.014160549372484016,0.719,0.0,0.04
3,1789,0.012480604466032517,0.723,0.0,0.07
4,1790,0.009408851748684617,0.738,0.0,0.08
5,1791,0.00861562331037401,0.744,0.0,0.06
6,1792,0.008704011368504645,0.721,0.0,0.05
7,1793,0.008115866388308976,0.696,0.0,0.04
8,1794,0.007413062257669204,0.68,0.0,0.03
9,1795,0.006751191149156101,0.684,0.0,0.01
10,1796,0.005918155554932264,0.653,0.0,0.02
11,1797,0.005761864748955116,0.656,0.0,0.04
12,1798,0.005244865176953462,0.667,0.0,0.08
13,1799,0.005039155600953354,0.692,0.0,0.04
14,1800,0.005027286571965512,0.666,0.0,0.04
15,1801,0.004883559263121307,0.663,0.0,0.06
16,1802,0.004815639754049608,0.669,0.0,0.08
17,1803,0.004710114889785625,0.677,0.0,0.03
18,1804,0.004649991606513346,0.675,0.01,0.02
19,1805,0.004588253280214395,0.654,0.0,0.01
20,1806,0.0044277856300174575,0.646,0.0,0.08
21,1807,0.004386027235050325,0.693,0.0,0.13
22,1808,0.004416490894210488,0.644,0.0,0.0
