,year,density,clustering,preferential_edges,jacc_edges
0,1731,0.042162698412698416,0.724,0.0,0.0
1,1732,0.03413654618473896,0.723,0.0,0.0
2,1733,0.03008626130864717,0.625,0.0,0.0
3,1734,0.029391777098199116,0.626,0.0,0.01
4,1735,0.029889807162534435,0.641,0.0,0.05
5,1736,0.02557591148195175,0.699,0.0,0.03
6,1737,0.023820754716981134,0.663,0.0,0.02
7,1738,0.018646470015058907,0.637,0.0,0.04
8,1739,0.017388418782147006,0.662,0.01,0.05
9,1740,0.015179578889101786,0.691,0.0,0.08
10,1741,0.015615022929122889,0.642,0.0,0.06
11,1742,0.014421195243113052,0.677,0.01,0.09
12,1743,0.013706429662546869,0.711,0.01,0.01
13,1744,0.01298472311431846,0.687,0.0,0.01
14,1745,0.01212141487131451,0.65,0.0,0.0
15,1746,0.011600364409353173,0.663,0.0,0.03
16,1747,0.011267227148834888,0.642,0.0,0.01
17,1748,0.010929157559035367,0.616,0.0,0.0
18,1749,0.01077788191190253,0.591,0.0,0.02
19,1750,0.010607560502531166,0.596,0.0,0.01
20,1751,0.010694640892660695,0.577,0.01,0.02
21,1752,0.011195365084774644,0.582,0.0,0.02
22,1753,0.011143675591542066,0.631,0.0,0.03
23,1754,0.01108183632734531,0.611,0.0,0.04
24,1755,0.010941309851061516,0.616,0.0,0.03
25,1756,0.010701563067975282,0.66,0.01,0.08
26,1757,0.0109257792480082,0.655,0.0,0.0
27,1758,0.011065868263473054,0.677,0.0,0.0
