degree,count
0,0
1,862
2,1028
3,8445
4,2223
5,1109
6,1362
7,758
8,580
9,555
10,411
11,385
12,368
13,252
14,231
15,223
16,225
17,159
18,190
19,149
20,134
21,133
22,125
23,110
24,111
25,94
26,81
27,77
28,64
29,77
30,63
31,51
32,59
33,74
34,41
35,50
36,47
37,50
38,42
39,38
40,30
41,30
42,28
43,31
44,17
45,16
46,19
47,25
48,20
49,20
50,20
51,17
52,9
53,11
54,10
55,11
56,10
57,9
58,16
59,14
60,13
61,12
62,10
63,7
64,10
65,10
66,9
67,5
68,8
69,4
70,9
71,4
72,7
73,5
74,6
75,5
76,6
77,3
78,9
79,3
80,4
81,7
82,6
83,6
84,2
85,6
86,1
87,7
88,2
89,5
90,4
91,6
92,2
93,5
94,1
95,2
96,6
97,2
98,3
99,2
100,2
101,0
102,1
103,1
104,0
105,1
106,4
107,0
108,1
109,1
110,3
111,2
112,1
113,2
114,1
115,0
116,4
117,2
118,2
119,2
120,2
121,2
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,2
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,2
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
