,year,density,clustering,preferential_edges,jacc_edges
0,1677,0.06387921022067364,0.757,0.0,0.0
1,1678,0.01665986672106623,0.688,0.0,0.0
2,1679,0.009561635775228007,0.651,0.0,0.02
3,1680,0.00856760374832664,0.706,0.0,0.16
4,1681,0.007416063349893263,0.706,0.0,0.12
5,1682,0.00663443687389858,0.67,0.0,0.03
6,1683,0.0066946105405351715,0.685,0.0,0.12
7,1684,0.0067741935483870966,0.715,0.01,0.16
8,1685,0.006422650398915483,0.653,0.0,0.03
9,1686,0.006335373264239769,0.687,0.0,0.01
10,1687,0.006158858521063245,0.68,0.0,0.0
11,1688,0.006121142645745258,0.705,0.01,0.03
12,1689,0.0059430429754148105,0.727,0.0,0.03
13,1690,0.005880369967695917,0.707,0.0,0.02
14,1691,0.005880369967695917,0.709,0.0,0.0
15,1692,0.005880369967695917,0.737,0.0,0.0
16,1693,0.005880369967695917,0.688,0.0,0.0
17,1694,0.005880369967695917,0.712,0.0,0.0
18,1695,0.005690517559100721,0.735,0.0,0.0
19,1696,0.005690517559100721,0.69,0.0,0.0
20,1697,0.005591874997441492,0.704,0.0,0.0
21,1698,0.005359161168132942,0.71,0.0,0.02
22,1699,0.00543631771347167,0.722,0.0,0.01
23,1700,0.005449142083149542,0.75,0.0,0.0
24,1701,0.005572414361128485,0.735,0.0,0.0
25,1702,0.00583947884719093,0.776,0.0,0.0
26,1703,0.006226592931795244,0.801,0.0,0.0
27,1704,0.006927669659541498,0.806,0.0,0.0
28,1705,0.008706605532322265,0.841,0.0,0.0
29,1706,0.011118452100047192,0.829,0.0,0.0
30,1707,0.012021069656634537,0.837,0.0,0.0
31,1708,0.01303889474560284,0.858,0.0,0.0
32,1709,0.01436956081764825,0.862,0.0,0.0
33,1710,0.016768859160163508,0.878,0.0,0.01
34,1711,0.01891891891891892,0.902,0.0,0.0
35,1712,0.01891891891891892,0.879,0.0,0.0
36,1713,0.01891891891891892,0.875,0.0,0.0
37,1714,0.01891891891891892,0.892,0.0,0.0
38,1715,0.01891891891891892,0.895,0.0,0.0
39,1716,0.02242825607064018,0.895,0.0,0.0
40,1717,0.02242825607064018,0.894,0.0,0.0
41,1718,0.02476506357103372,0.91,0.0,0.0
42,1719,0.05493863237872589,0.927,0.0,0.0
43,1720,0.10416666666666667,0.91,0.0,0.0
44,1721,0.070578231292517,0.936,0.0,0.0
45,1722,0.059932659932659935,0.953,0.0,0.0
46,1723,0.059932659932659935,0.928,0.0,0.0
47,1724,0.059932659932659935,0.948,0.0,0.0
48,1725,0.05191256830601093,0.949,0.0,0.0
49,1726,0.05191256830601093,0.946,0.0,0.0
