,year,source,target
75,1802,Johannes  Leidig,Adam  Leidig
76,1802,George  Hetzler,Balthazar  Hetzler
77,1802,Johannes  Michel,Geo  Baursohs
78,1802,Hendrick  Vonoedy,Adam  Bahmer
79,1802,Adam  Huber,Philip  Frank
80,1802,Anthonius  Rehrig,Adam  Klingler
81,1802,Christian  Krebs,Henrich  Krebs
82,1802,Flint  Berner,Henrich  Gansert
83,1802,Andries  Haerter,Salome  13
84,1802,Georg  Icheler,Barbara Boyer Elizabeth
85,1802,Michael  Kreamer,Daniel  Kreamer
86,1802,Philip  Nies,Jacob  Stober
87,1802,Daniel  Waldenberger,Adam  Leidig
88,1802,Georg  Wurtemberger,Elizabeth  13
89,1802,Jacob  Schaefer,Geo  Schwartz
90,1802,Georg  Brecht,Jacob  Hennig
91,1802,Ludwig  Thornmeier,Margare  13
92,1803,Antony  Wolf,Valentyn  Britsch
93,1803,Johannes  Weber,Adam  Stober
94,1803,Jacob  Herring,Philip  Danner
96,1803,Geo  Wolf,Andries  Feller
97,1803,Ludwig  Willgen,Jacob  Weber
98,1803,Michael  Hess,John  Weis
99,1803,Geo  Schwartz,Geo  Pontius
100,1803,Jacob  Hettinger,Geo  Trautner
101,1803,Peter  Nies,Joh Mic Mogel
102,1803,Balthazar  Hetzel,Christina  13
103,1803,Joh Jacob Hosterman,Johannes  Weber
104,1803,Michael  Knoll,Adam  Kliger
105,1802,Frederick  Kroh,Georg  Bayer
106,1803,Georg  Bayer,Catharina  Schoefein
107,1803,Georg  Kister,Henrich  13
108,1803,James  Schip,Magdalena  Hellmanin
109,1803,George  Weis,Joh  Herper
110,1803,Nicholas  Vanlotten,Joh  Leidig
111,1803,Joh  Stober,Johannes  Weber
112,1803,Jacob  Wnest,Jacob  Weber
113,1803,Johannes  Kern,Joh  Criechbaum
114,1803,Abraham  Miller,Geo  Hetzel
115,1803,Philip  Gechel,Christopher  Emmerick
116,1803,Jacob  Mosser,Mattheus  Beuck
12,1795,Johannes  Criechbaum,Maria Elizabeth Barbara Herr
23,1795,Leonhart  Willeman,Margriet Elizabeth Barbara
24,1795,Frederick  Stober,Anna Magdalena Stober
25,1795,Martin  Troester,Susanna Catherine Miller
26,1795,Daniel  Kreamer,Margriet Catherine Pontius
27,1795,Jacob  Miller,Catharina  Huber
29,1795,Georg  Baursohs,Rosina Christina Bayer
30,1796,Michael  Ried,Elizabeth Margaretha Geistweith
32,1796,Daniel  Mosser,Magdalena Christina Wolf
33,1796,Nicholas  Mokel,Elizabeth Salome Heckman
34,1796,Johnannes  Stober,Barbara Maria Magdalena Stober
35,1796,Philip  Anman,Elizabeth Barbara Emmerick
36,1796,Jeremiah  Trautner,Elizabeth Margaretha Trautner
37,1796,Philip  Gunkel,Catharina Barbara Mos
38,1796,Henry  Herper,Eva Agatha Weber
41,1796,Adam  Leidig,Christina Julianna Stober
42,1796,Adam  Klinger,Maria Julianna Pontius
43,1796,Benjamin  Ried,Maria Christina Barbara Stober
44,1796,Adam  Stober,Maria Magdalena Anna Stober
45,1796,Jacob  Brown,Catharina  Gunkel
46,1796,John  Brown,Maria  Gronigee
47,1796,Adam  Stober,Juliana Barbara Weber
49,1796,John  Weber,Catharina Elizabeth Weber
50,1796,John  Mitshel,Judith Barbara Henry
54,1796,Michael  Weber,Elizabeth Catherine Weber
56,1802,Georg  Frank,Christina Eva Franklin Herb
57,1802,Henry  Krebs,Laria  Krebs
58,1802,Philip  Theobold,Laria  Stober
59,1802,John  Vandusten,Elizabeth Barbara Christina Emmerick
60,1802,Leonhart  Willeman,Elis Salome Heckman
61,1802,Ludwig  Kreamer,Elizabeth Magdalena Kranter
62,1802,David  Miller,Susanna  Strom
64,1802,Jacob  Mark,Magdalena Philillina Herper
65,1802,Christian  Schnieder,Catharina  Miller
66,1802,Joh Wm Pontius,Margriet Magd Schuck
