,year,source,target
186,1813,Jacob  Miller,Witness Anna Bender
183,1813,Henry  Haack,Wife Of Jacob Bucks
185,1813,Jonathan  Miller,Elizabeth  Miller
177,1813,Margriet  Hamilton,Witness Anna Bender
178,1813,Hannah  Thompson,Witness Jacob Bucks
179,1813,Hannah  Thompson,Witness Dorothea James
180,1813,Hannah  Thompson,Witness Maria Bucks
181,1813,Hannah  Thompson,Witness Christina Spring
182,1813,Hannah  Thompson,Witness Christina Spring
183,1813,Magdalena  Haack,Jacob  Bucks
184,1813,Molly  Fromin,Witness Anna Bender
185,1813,Maria  Miller,John
186,1813,Catharina  Miller,Witness Anna Bender
183,1813,Magdalena  Haack,Wife Of Jacob Bucks
185,1813,Maria  Miller,Elizabeth  Miller
183,1813,Jacob  Bucks,Wife Of Jacob Bucks
185,1813,John,Elizabeth  Miller
187,1815,Adam  Carper,Catharina  Carper
188,1815,George  Ellinger,Barbara  Ellinger
189,1815,George  Ellinger,Barbara  Ellinger
191,1815,Ludwig  Clopper,Barbara  Clopper
195,1815,George  Grun,Nancy  Grun
196,1815,George  Grun,Nancy  Grun
197,1815,John  Schneider,Maria  Schneider
187,1815,Adam  Carper,Witness Sara Blessing
188,1815,George  Ellinger,Witness Anna Maria Bucks
189,1815,George  Ellinger,John  Bucks
191,1815,Ludwig  Clopper,Witness Philipse Blessing
195,1815,George  Grun,Witness Susan Speidel
196,1815,George  Grun,Thomas
197,1815,John  Schneider,Witness Elizabeth Conrad
189,1815,George  Ellinger,Wife Of John Bucks
196,1815,George  Grun,Susannah  Schmidt
187,1815,Catharina  Carper,Witness Sara Blessing
188,1815,Barbara  Ellinger,Witness Anna Maria Bucks
189,1815,Barbara  Ellinger,John  Bucks
191,1815,Barbara  Clopper,Witness Philipse Blessing
195,1815,Nancy  Grun,Witness Susan Speidel
196,1815,Nancy  Grun,Thomas
197,1815,Maria  Schneider,Witness Elizabeth Conrad
189,1815,Barbara  Ellinger,Wife Of John Bucks
196,1815,Nancy  Grun,Susannah  Schmidt
189,1815,John  Bucks,Wife Of John Bucks
196,1815,Thomas,Susannah  Schmidt
207,1816,John  Fromin,Magdalena  Fromin
209,1816,Michael  Wolz,Maria  Wolz
206,1816,Jacob  Miller,Witness Catharine Wolz
207,1816,John  Fromin,John  Wals
209,1816,Michael  Wolz,Michael
207,1816,John  Fromin,Wife Of John Wals
209,1816,Michael  Wolz,Elizabeth  Wals
207,1816,Magdalena  Fromin,John  Wals
209,1816,Maria  Wolz,Michael
207,1816,Magdalena  Fromin,Wife Of John Wals
209,1816,Maria  Wolz,Elizabeth  Wals
207,1816,John  Wals,Wife Of John Wals
209,1816,Michael,Elizabeth  Wals
214,1817,Christian  Blessing,Catharina  Blessing
215,1817,Ludwig  Koppa,Barbara  Koppa
214,1817,Christian  Blessing,Philip  Blessing
215,1817,Ludwig  Koppa,Witness Christian Blessing
214,1817,Christian  Blessing,Wife Of Philip Blessing
214,1817,Catharina  Blessing,Philip  Blessing
215,1817,Barbara  Koppa,Witness Christian Blessing
214,1817,Catharina  Blessing,Wife Of Philip Blessing
214,1817,Philip  Blessing,Wife Of Philip Blessing
217,1819,Robert  Cunningham,Maria  Cunningham
218,1819,Charles  Grunden,Magdalena  Grunden
221,1819,Adam  Koph,Nancy  Koph
222,1819,Frederick  Blessing,Elizabeth  Blessing
223,1819,Jacob  Camp,Margriet  Camp
224,1819,John  Finney,Sara  Wolz
217,1819,Robert  Cunningham,Witness Barbara Wolz
218,1819,Charles  Grunden,Witness Barbara Wolz
221,1819,Adam  Koph,Witness John Fromin
222,1819,Frederick  Blessing,Witness Sara Wolz
223,1819,Jacob  Camp,Witness Barbara Wolz
224,1819,John  Finney,Witness Catharine Wolz
217,1819,Maria  Cunningham,Witness Barbara Wolz
218,1819,Magdalena  Grunden,Witness Barbara Wolz
221,1819,Nancy  Koph,Witness John Fromin
222,1819,Elizabeth  Blessing,Witness Sara Wolz
223,1819,Margriet  Camp,Witness Barbara Wolz
224,1819,Sara  Wolz,Witness Catharine Wolz
226,1822,David  Camp,Barbara  Woltz
226,1822,David  Camp,Witness Sara Wolz
226,1822,Barbara  Woltz,Witness Sara Wolz
36,1761,Frederick  Hummel,Antoine  Blessing
36,1761,Frederick  Hummel,Wife Of Anthony Blessing
36,1761,Antoine  Blessing,Wife Of Anthony Blessing
