,year,source,target
46,1759,Mattheus  Stoll,Maxim Hian Speidel
47,1759,Joseph  Kernanne,Frederick  Morrell
50,1759,Ludwig  Trabler,Witness John Phillip Gunter
53,1759,Antoine  Blessle,Frederick  Hummel
58,1759,John  Kristler,Frederick  Hummel
15,1759,Gottlieb David Ettle,Wife Of Philip Fishburn
22,1759,Chrisitan  Alleman,Wife Of George Fry
41,1759,Conrad  Wolfley,Wife Of Johannes Cassel
42,1759,John  Deiss,Wife Of Johannes Newcomer
46,1759,Mattheus  Stoll,Wife Of Maxim Hian Speidel
47,1759,Joseph  Kernanne,Wife Of Frederick Morrell
53,1759,Antoine  Blessle,Wife Of Frederick Hummel
58,1759,John  Kristler,Wife Of Frederick Hummel
15,1759,Philip  Fishburn,Wife Of Philip Fishburn
22,1759,George  Fry,Wife Of George Fry
41,1759,J  Cassel,Wife Of Johannes Cassel
42,1759,J  Newcomer,Wife Of Johannes Newcomer
46,1759,Maxim Hian Speidel,Wife Of Maxim Hian Speidel
47,1759,Frederick  Morrell,Wife Of Frederick Morrell
51,1759,Frederick  Hummel,Wife Of Frederick Hummel
53,1759,Frederick  Hummel,Wife Of Frederick Hummel
58,1759,Frederick  Hummel,Wife Of Frederick Hummel
51,1759,Frederick  Hummel,Philip  Parthemer
51,1759,Frederick  Hummel,Wife Of Philip Parthemer
51,1759,Wife Of Frederick Hummel,Philip  Parthemer
51,1759,Wife Of Frederick Hummel,Wife Of Philip Parthemer
51,1759,Philip  Parthemer,Wife Of Philip Parthemer
11,1760,Philip  Genter,Peter  Gunther
26,1760,Jacob  Albrecht,Christofel  Shupp
31,1760,John  Boresch,Philip  Fishburn
52,1760,Christopher  Jesupp,Philip  Parthemer
57,1760,Michael  Bolty,Geo Jacob Bolty
60,1760,Conrad  Wolfley,Jacob  Lenz
61,1760,Michael  Dauckmann,John  Cassel
62,1760,Philip  Fishburn,Philip  Bolty
63,1760,Philip  Fishburn,Philip  Fishburn
66,1760,Philip  Fishburn,John Peitrich Morrell
71,1760,Henry  Mayer,Frederick  Cassel
72,1760,Henry  Mayer,Nicholas  Cassel
73,1760,Antoine  Kermanne,Philip  Fishburn
74,1760,Antoine  Kermanne,Witness John Kermanne
96,1760,Jacob  Zeiter,Wm  Stricker
102,1760,Ludwig  Beel,Ludwig  Beel
11,1760,Philip  Genter,Wife Of Peter Gunther
26,1760,Jacob  Albrecht,Wife Of Stoffel Shupp
31,1760,John  Boresch,Wife Of Philip Fishburn
52,1760,Christopher  Jesupp,Wife Of Philip Parthemer
57,1760,Michael  Bolty,Catharina  Mayer
60,1760,Conrad  Wolfley,Wife Of Jacob Lenz
61,1760,Michael  Dauckmann,Wife Of John Cassel
62,1760,Philip  Fishburn,Wife Of Philip Bolty
63,1760,Philip  Fishburn,Wife Of Philip Fishburn
66,1760,Philip  Fishburn,Wife Of John Peitrich Morrell
71,1760,Henry  Mayer,Magdalena  Kristler
72,1760,Henry  Mayer,Anna Maria Scheffer
73,1760,Antoine  Kermanne,Wife Of Philip Fishburn
96,1760,Jacob  Zeiter,Wife Of William Stricker
102,1760,Ludwig  Beel,Wife Of Ludwig Beel
52,1760,Christopher  Jesupp,Frederick  Hummel
52,1760,Christopher  Jesupp,Wife Of Frederick Hummel
11,1760,Peter  Gunther,Wife Of Peter Gunther
26,1760,Christofel  Shupp,Wife Of Stoffel Shupp
31,1760,Philip  Fishburn,Wife Of Philip Fishburn
52,1760,Philip  Parthemer,Wife Of Philip Parthemer
57,1760,Geo Jacob Bolty,Catharina  Mayer
60,1760,Jacob  Lenz,Wife Of Jacob Lenz
61,1760,John  Cassel,Wife Of John Cassel
62,1760,Philip  Bolty,Wife Of Philip Bolty
63,1760,Philip  Fishburn,Wife Of Philip Fishburn
65,1760,Ludovicus  Bolty,Wife Of Ludovicus Bolty
66,1760,John Peitrich Morrell,Wife Of John Peitrich Morrell
71,1760,Frederick  Cassel,Magdalena  Kristler
72,1760,Nicholas  Cassel,Anna Maria Scheffer
73,1760,Philip  Fishburn,Wife Of Philip Fishburn
96,1760,Wm  Stricker,Wife Of William Stricker
102,1760,Ludwig  Beel,Wife Of Ludwig Beel
52,1760,Philip  Parthemer,Frederick  Hummel
52,1760,Philip  Parthemer,Wife Of Frederick Hummel
52,1760,Wife Of Philip Parthemer,Frederick  Hummel
52,1760,Wife Of Philip Parthemer,Wife Of Frederick Hummel
52,1760,Frederick  Hummel,Wife Of Frederick Hummel
23,1761,Christian  Alleman,George  Fry
27,1761,Jacob  Albrecht,John Peter Gunter
39,1761,Michael  Cassel,Jacob  Leny
44,1761,Frederick  Forster,Philip  Fisher
48,1761,Joseph  Gennanne,John  Corbin
59,1761,John  Kristler,Frederick  Hummel
78,1761,Mckallens,Ludwig  Traber
86,1761,Rudolph  Baab,Adam  Waler
87,1761,John  Unschild,Jacob  Speidel
90,1761,Nicholas  Staud,Frederick  Hummel
91,1761,George John Weeber,John  Huber
92,1761,Charles  Williams,John  Albrecht
93,1761,Charles  Williams,Jacob  Burkhard
23,1761,Christian  Alleman,Wife Of George Fry
27,1761,Jacob  Albrecht,Wife Of John Peter Gunter
39,1761,Michael  Cassel,Wife Of Jacob Leny
44,1761,Frederick  Forster,Wife Of Philip Fisher
48,1761,Joseph  Gennanne,Wife Of John Corbin
59,1761,John  Kristler,Wife Of Frederick Hummel
78,1761,Mckallens,Wife Of Ludwig Traber
86,1761,Rudolph  Baab,Wife Of Adam Waler
87,1761,John  Unschild,Elizabeth  Crabb
90,1761,Nicholas  Staud,Wife Of Frederick Hummel
91,1761,George John Weeber,Susannah  Schey
92,1761,Charles  Williams,Wife Of John Albrecht
93,1761,Charles  Williams,Salome  Huber
23,1761,George  Fry,Wife Of George Fry
27,1761,John Peter Gunter,Wife Of John Peter Gunter
39,1761,Jacob  Leny,Wife Of Jacob Leny
44,1761,Philip  Fisher,Wife Of Philip Fisher
48,1761,John  Corbin,Wife Of John Corbin
59,1761,Frederick  Hummel,Wife Of Frederick Hummel
77,1761,Philip  Fishburn,Wife Of Philip Fishburn
78,1761,Ludwig  Traber,Wife Of Ludwig Traber
86,1761,Adam  Waler,Wife Of Adam Waler
87,1761,Jacob  Speidel,Elizabeth  Crabb
90,1761,Frederick  Hummel,Wife Of Frederick Hummel
91,1761,John  Huber,Susannah  Schey
92,1761,John  Albrecht,Wife Of John Albrecht
93,1761,Jacob  Burkhard,Salome  Huber
54,1762,Antoine  Blessle,Antoine  Hemperly
67,1762,Philip  Fishburn,Peter  Uehler
68,1762,Philip  Fishburn,Antoine  Ochler
79,1762,Jacob  Speidel,John Adam Schneider
88,1762,John  Unschild,Jacob  Speidel
94,1762,Jacob  Zeiter,Philip  Genter
97,1762,Jacob  Zeiter,John  Boretsch
98,1762,Frederick  Cassel,Jacob  Koenig
99,1762,Frederick  Cassel,Michael  Cassel
100,1762,Adam  Mayer,Frederick  Foster
101,1762,Ludwig  Beel,Dietrich  Morrell
103,1762,Antoine  Uehler,Philip  Fishburn
104,1762,Jacob  Mater,John  Mater
54,1762,Antoine  Blessle,Wife Of Anthony Hemperly
67,1762,Philip  Fishburn,Maria  Hoffman
68,1762,Philip  Fishburn,Wife Of Anthony Ochler
79,1762,Jacob  Speidel,Wife Of John Adam Schneider
88,1762,John  Unschild,Wife Of Jacob Speidel
94,1762,Jacob  Zeiter,Wife Of Philip Ginter
97,1762,Jacob  Zeiter,Wife Of John Boretsch
98,1762,Frederick  Cassel,Anna Maria Kessinger
99,1762,Frederick  Cassel,Wife Of Michael Cassel
100,1762,Adam  Mayer,Wife Of Frederick Foster
101,1762,Ludwig  Beel,Wife Of Dietrich Morrell
103,1762,Antoine  Uehler,Wife Of Philip Fishburn
104,1762,Jacob  Mater,Wife Of John Mater
54,1762,Antoine  Hemperly,Wife Of Anthony Hemperly
67,1762,Peter  Uehler,Maria  Hoffman
68,1762,Antoine  Ochler,Wife Of Anthony Ochler
79,1762,John Adam Schneider,Wife Of John Adam Schneider
88,1762,Jacob  Speidel,Wife Of Jacob Speidel
94,1762,Philip  Genter,Wife Of Philip Ginter
97,1762,John  Boretsch,Wife Of John Boretsch
98,1762,Jacob  Koenig,Anna Maria Kessinger
99,1762,Michael  Cassel,Wife Of Michael Cassel
100,1762,Frederick  Foster,Wife Of Frederick Foster
101,1762,Dietrich  Morrell,Wife Of Dietrich Morrell
103,1762,Philip  Fishburn,Wife Of Philip Fishburn
104,1762,John  Mater,Wife Of John Mater
45,1763,Frederick,Henry  Scheffer
105,1763,Peter  Bucks,George  Bauer
106,1763,Peter  Bucks,John  Deiss
107,1763,George  Bauer,Frederick  Hummel
108,1763,George  Bauer,Caspar
109,1763,George  Bauer,John  Cassel
110,1763,Joseph  Yoder,Peter  Pfannenkuchen
111,1763,Henry  Ditzel,Philip  Fishburn
116,1763,John  Kermanne,Henry  Ditzel
45,1763,Frederick,Wife Of Henry Scheffer
105,1763,Peter  Bucks,Wife Of George Weeber
106,1763,Peter  Bucks,Wife Of John Deiss
107,1763,George  Bauer,Wife Of Frederick Hummel
108,1763,George  Bauer,Catharina  Earnest
109,1763,George  Bauer,Wife Of John Cassel
110,1763,Joseph  Yoder,Wife Of Peter Pfannenkuchen
111,1763,Henry  Ditzel,Wife Of Philip Fishburn
