,year,density
0,1688,0.39285714285714285
1,1689,0.0545790934320074
2,1690,0.03873239436619718
3,1691,0.034774651109585906
4,1692,0.02464825981169999
5,1693,0.02011649552633159
6,1694,0.017202723085076026
7,1695,0.016720976926368453
8,1696,0.016679841897233202
9,1697,0.016667445883398007
10,1698,0.015686644643699857
11,1699,0.014850632990626418
12,1700,0.013426528757094072
13,1701,0.012374666196402479
14,1702,0.011796580057739285
15,1703,0.01141144006807103
16,1704,0.010921600579395256
17,1705,0.010767214436939208
18,1706,0.010537520627842233
19,1707,0.010557148583233127
20,1708,0.010416479911074457
21,1709,0.010458937198067633
22,1710,0.010209356422848282
23,1711,0.009963004387851674
24,1712,0.009412143489576346
25,1713,0.009713549974932774
26,1714,0.009589866611039647
27,1715,0.009597008724553387
28,1716,0.009383346192652383
29,1717,0.009038754244233697
30,1718,0.008901585724340662
31,1719,0.008749759291353746
32,1720,0.008949865031317976
33,1721,0.008812554948668425
34,1722,0.009264497878359264
35,1723,0.00948952603070787
36,1724,0.00962665559093636
37,1725,0.010011134730235854
38,1726,0.010177580466148724
39,1727,0.010398755424547613
40,1728,0.010373271615927838
41,1729,0.010232233280949887
42,1730,0.010154112866003985
43,1731,0.010028340963592761
44,1732,0.009973995564611452
45,1733,0.010297638987109342
46,1734,0.010283569744330458
47,1735,0.010260418605228224
48,1736,0.010423528500019374
49,1737,0.010816411106506423
50,1738,0.011526623576485073
51,1739,0.011814318825650271
52,1740,0.012469973152465733
53,1741,0.012968591691995946
54,1742,0.0142478880342958
55,1743,0.0147603121516165
56,1744,0.015703594650963073
57,1745,0.016363636363636365
58,1746,0.016725921137685843
59,1747,0.017495711835334476
60,1748,0.01914859437751004
61,1749,0.01938711694809256
62,1750,0.019595536959553697
63,1751,0.020114942528735632
64,1752,0.021102426984779925
65,1753,0.020523980201399557
66,1754,0.01971478204662061
67,1755,0.017506577615867235
68,1756,0.015444015444015444
69,1757,0.014464853880912275
70,1758,0.013394735611763057
71,1759,0.013220379429662331
72,1760,0.012940767760986625
73,1761,0.013619062286858375
74,1762,0.013525567887148636
75,1763,0.013534686172722982
76,1764,0.012959970681814396
77,1765,0.013000409332787555
78,1766,0.012867911845200941
79,1767,0.01334961334961335
80,1768,0.012777737306039193
81,1769,0.012748597654258032
82,1770,0.012777183600713013
83,1771,0.012400436878979196
84,1772,0.012268266085059978
85,1773,0.011885598092494645
86,1774,0.012114577631819012
87,1775,0.012344759990570837
88,1776,0.01287712055554796
89,1777,0.012969886676520883
90,1778,0.013076446920458062
91,1779,0.013496595839549999
92,1780,0.013852813852813853
93,1781,0.01409844175117487
94,1782,0.01434336446442984
95,1783,0.015563446706985519
96,1784,0.019027996606471944
97,1785,0.022377215925603024
98,1786,0.025034268811774042
99,1787,0.026192182151102618
100,1788,0.028160919540229885
101,1789,0.03137254901960784
102,1790,0.03380903839619436
103,1791,0.040199750312109865
104,1792,0.052917232021709636
105,1793,0.05446853516657853
106,1794,0.06666666666666667
107,1795,0.11956521739130435
108,1796,0.28888888888888886
109,1797,1.0
110,1798,1.0
111,1799,0.2727272727272727
112,1800,0.2
113,1801,0.2
114,1802,0.2
115,1803,0.2
