degree,count
0,0
1,47
2,96
3,163
4,23
5,33
6,19
7,13
8,12
9,7
10,7
11,4
12,4
13,3
14,5
15,4
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
