degree,count
0,0
1,81
2,39
3,1100
4,37
5,177
6,70
7,39
8,38
9,32
10,7
11,8
12,6
13,3
14,3
15,2
16,0
17,6
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,1
