,year,density,clustering,preferential_edges,jacc_edges
0,1683,0.03561076604554866,0.723,0.0,0.0
1,1684,0.01389529815925755,0.77,0.0,0.0
2,1685,0.010202819688350235,0.744,0.04,0.01
3,1686,0.007891231964483906,0.713,0.02,0.02
4,1687,0.007155479819495724,0.668,0.02,0.0
5,1688,0.006830463868855094,0.706,0.01,0.0
6,1689,0.00626893217516901,0.653,0.01,0.0
7,1690,0.005955533737258904,0.651,0.0,0.0
8,1691,0.005557092468358808,0.655,0.0,0.01
9,1692,0.005380670357495386,0.659,0.0,0.01
10,1693,0.005137877211238293,0.679,0.0,0.0
11,1694,0.005120432176135094,0.681,0.01,0.0
12,1695,0.005123963815874315,0.66,0.01,0.0
13,1696,0.005005448989079159,0.666,0.0,0.01
14,1697,0.00502092050209205,0.638,0.0,0.0
15,1698,0.004922751065371499,0.646,0.0,0.0
16,1699,0.00480988572984711,0.653,0.01,0.0
17,1700,0.004486126055463926,0.645,0.0,0.0
18,1701,0.004263543407987091,0.656,0.0,0.0
19,1702,0.004102374499986234,0.62,0.0,0.0
20,1703,0.00405237586875531,0.608,0.0,0.0
21,1704,0.004023246337919765,0.631,0.0,0.0
22,1705,0.00400333722232748,0.611,0.01,0.0
23,1706,0.003877305593179826,0.624,0.0,0.0
24,1707,0.0037601740916312233,0.608,0.0,0.0
25,1708,0.00378639575462664,0.607,0.0,0.0
26,1709,0.0037554067798504544,0.585,0.0,0.0
27,1710,0.003744445253879216,0.626,0.0,0.0
28,1711,0.003817731712536691,0.627,0.0,0.0
29,1712,0.003721979242571062,0.584,0.0,0.0
30,1713,0.0035885246594031103,0.596,0.0,0.0
31,1714,0.0035633548978550073,0.562,0.0,0.0
32,1715,0.003473798063811679,0.57,0.0,0.0
33,1716,0.003413141374020723,0.543,0.0,0.0
34,1717,0.003389917738696423,0.539,0.0,0.0
35,1718,0.003294102480531423,0.52,0.0,0.0
36,1719,0.003266753487204431,0.495,0.0,0.0
37,1720,0.0031939791657106145,0.485,0.0,0.0
38,1721,0.0031574432920674273,0.467,0.0,0.0
39,1722,0.0030277411669998714,0.471,0.01,0.0
40,1723,0.0029143152827382007,0.47,0.01,0.0
41,1724,0.002760545905707196,0.428,0.0,0.0
42,1725,0.0027413110230964355,0.459,0.0,0.0
