from,to
______,
???,
????,
(Garret?) V.,
A,a
Adamsz,Adamszen
Adriaensen Van,Andries Van
Albertse De,Albertszen De
Aldertszen,Albertszen
Andreis,Andries
Andriaenszen,Adriaenszen
Ann,Anna
Anne,Anna
Arence,Arentsz
Arentse,Arentsz
Arentse De,Arentsz De
Ariaenszen,Adriaenszen
Baptist du,Baptist Du
Barbera,Barbara
Barentsz,Barentszen
Barentz,Barentszen
Baretnz,Barentz
Batist du,Baptist Du
Bicker,Bikker a
Bicker a,Bikker a
Bickers a,Bikker a
Biker a,Bikker a
Bikkers A,Bikker a
Bordet,Bourdet
Catharins,Catharina
Cathrina,Catharina
Catrien,Catharina
Catrina,Catharina
Christ:,Christiaan
Clase,Claase
Clase Van,Claes Van
Coenraad,Conrad
Coenraat,Conrad
Coenradus,Conradus
Conradus,Conrad
Cornelisz,Corneliszen
Cornelus,Cornelis
Cornelusse,Cornelis
Cornelusse Van,Cornelis Van
Dangola a,Van Angola a
De,De
Dircxzen Van,Dirckszen Van
Dirkse,Dircksz
Doritha,Dorothea
Dorithea,Dorothea
Dorothy,Dorothea
du,Du
Elisabet,Elizabeth
Elisabeth,Elizabeth
Elizabet,Elizabeth
Evertsz,Evertszen
Francoys a,Francisco a
Frans,Franse
Fransz Van,Franse Van
Fredrick,Frederick
Fredrik,Frederick
Geertruyd,Geertruy
Gerretse,Gerretse
Gerretz,Gerretse
Gerrison van,Gerrison Van
Gerrits,Gerretse
Gerritse Van Den,Gerretse Van Den
Gerritz,Gerretse
Gerrtszen,Gerritszen
Gerrtz,Gerretse
Gerrz Van,Gerrits Van
Gertz,Gerretse
Gertz Van,Gerrits Van
Geurtszen,Gerritszen
Gilbertz,Gilbertsz
Glondisz Van,Glaudisz Van
Goerisson Van,Gerrison Van
Hend.,Hendrick
Henderikse,Hendrickse
Hendrickszen,Hendrickse
Hendrick Van,Hendrickse Van
Hendrik,Hendrick
Hendrix,Hendrickse
Huygens De,Huygen De
Isaacsz,Isaac
Isaacszen Van,Isaacsen Van
Jacobse,Jacobsz
Jacobs Van,Jacobus Van
Jacobsz De,Jacobszen De
Jans,Jansz
Janse,Jansz
Janse Van,Jansz Van
Jans Van,Jansz Van
Jansz De,Janszen De
Janszen Van  En,Janszen Van
Janz Van,Jansz Van
Jillesz,Jilleszen
Jilliszen,Jilleszen
Jonathan,Jonathansz
Jonathsz,Jonathansz
Jonthsz,Jonathz
Jorisse Van,Jorisz Van
Joris Van,Jorisz Van
Jr Du,Jr De
Jr G. Jr,Jr G.
Jurg,Jurgh
Jurrich,Jurri
Jurry,Jurri
Katryn,Catharina
Lourense,Laurens
Louwerens,Laurens
Louwrensz s,Laurens
Lowz s,Lowz
ls,
Luykasse A,Lucasz  A
Ma,Mc
Magdelane,Magdalena
Margareta,Margarita
Margarit,Margarita
Margreta,Margarita
Margriet,Margarita
Margrietje,Margarita
Margrita,Margarita
Margritha,Margarita
Mari,Maria
Marie,Maria
Mary,Maria
Marya,Maria
Marytje,Maritie
Mauritz,Maurits
Micheal,Michael
Michel,Michael
Michiel,Michielse
Michielsz,Michielse
Morris,Marius
Opten,Op Ten
Outen,Uyt Den
Petist De,Baptist Du
petist de,Baptist Du
Philebene,Philippina
Philepina,Philippina
Philibina,Philippina
Philip,Philipse
Pieter,Pieterse
Pietersz,Pieterse
Pieter szen,Pieterszen
Pietersz Van,Pieterszen Van
Pieterz,Pieterse
Portuges a,Portugies a
Portugies A,Portugies a
Pra,Praa
Ryt a,Wryt a
s,
Samuelz,Samuels
Sarah,Sara
Saunders,Sanders
Schouten,Schoute
se,
Stephenszen Van,Stephenson Van
Stephensz Van,Stephenson Van
sz,
szen,
szen De,De
Ten,ten
Ter,Der
Theunisse,Theunis
Theunisz De,Theuniszen De
Thomasse,Thomas
Thomasz,Thomaszen
Thyszen,Thyssen
Uitden,Uyt Den
Uit Den,Uyt Den
Uit Uen,Uyt Den
Uuitden,Uyt Den
Uytden,Uyt Den
Uyt den,Uyt Den
Uyten,Uyt Den
V.,Van
Van,Van
van,Van
Van Angola A,Van Angola a
Vande,Van De
Van de,van den
Vanden,van den
Van Den,van den
Van den,van den
Vander,Van Der
Van der,Van Der
Van  Der,Van Der
Vangelder,Van Gelder
Van Van,Van
Ven,Van
von den,van den
Wesselsz Ten,Wesselszen Ten
Willem,William
Willemse,Willems
Willemse Van,Willemszen Van
Willemszen,Willems
Wit Den,Uyt Den
z,
ze,
zen De,De
