degree,count
0,0
1,116
2,60
3,129
4,17
5,30
6,14
7,6
8,9
9,5
10,4
11,0
12,1
13,3
14,1
15,4
16,3
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
