,congregation,year,modularity,count
139,sleepyhollow-drc,1705,11,10
140,sleepyhollow-drc,1705,12,0
141,sleepyhollow-drc,1705,13,5
142,sleepyhollow-drc,1705,14,0
143,sleepyhollow-drc,1705,15,0
144,sleepyhollow-drc,1706,0,6
145,sleepyhollow-drc,1706,1,0
146,sleepyhollow-drc,1706,2,19
147,sleepyhollow-drc,1706,3,23
148,sleepyhollow-drc,1706,4,30
149,sleepyhollow-drc,1706,5,39
150,sleepyhollow-drc,1706,6,22
151,sleepyhollow-drc,1706,7,27
152,sleepyhollow-drc,1706,8,21
153,sleepyhollow-drc,1706,9,2
154,sleepyhollow-drc,1706,10,9
155,sleepyhollow-drc,1706,11,10
156,sleepyhollow-drc,1706,12,0
157,sleepyhollow-drc,1706,13,7
158,sleepyhollow-drc,1706,14,0
159,sleepyhollow-drc,1706,15,0
160,sleepyhollow-drc,1707,0,8
161,sleepyhollow-drc,1707,1,0
162,sleepyhollow-drc,1707,2,20
163,sleepyhollow-drc,1707,3,23
164,sleepyhollow-drc,1707,4,30
165,sleepyhollow-drc,1707,5,42
166,sleepyhollow-drc,1707,6,22
167,sleepyhollow-drc,1707,7,28
168,sleepyhollow-drc,1707,8,26
169,sleepyhollow-drc,1707,9,2
170,sleepyhollow-drc,1707,10,11
171,sleepyhollow-drc,1707,11,10
172,sleepyhollow-drc,1707,12,0
173,sleepyhollow-drc,1707,13,9
174,sleepyhollow-drc,1707,14,0
175,sleepyhollow-drc,1707,15,0
176,sleepyhollow-drc,1708,0,9
177,sleepyhollow-drc,1708,1,1
178,sleepyhollow-drc,1708,2,20
179,sleepyhollow-drc,1708,3,25
180,sleepyhollow-drc,1708,4,36
181,sleepyhollow-drc,1708,5,47
182,sleepyhollow-drc,1708,6,24
183,sleepyhollow-drc,1708,7,29
184,sleepyhollow-drc,1708,8,29
185,sleepyhollow-drc,1708,9,2
186,sleepyhollow-drc,1708,10,11
187,sleepyhollow-drc,1708,11,11
188,sleepyhollow-drc,1708,12,0
189,sleepyhollow-drc,1708,13,14
190,sleepyhollow-drc,1708,14,0
191,sleepyhollow-drc,1708,15,0
192,sleepyhollow-drc,1709,0,10
193,sleepyhollow-drc,1709,1,2
194,sleepyhollow-drc,1709,2,20
195,sleepyhollow-drc,1709,3,28
196,sleepyhollow-drc,1709,4,39
197,sleepyhollow-drc,1709,5,49
198,sleepyhollow-drc,1709,6,24
199,sleepyhollow-drc,1709,7,32
200,sleepyhollow-drc,1709,8,34
201,sleepyhollow-drc,1709,9,2
202,sleepyhollow-drc,1709,10,12
203,sleepyhollow-drc,1709,11,12
204,sleepyhollow-drc,1709,12,0
205,sleepyhollow-drc,1709,13,15
206,sleepyhollow-drc,1709,14,0
207,sleepyhollow-drc,1709,15,0
208,sleepyhollow-drc,1710,0,12
209,sleepyhollow-drc,1710,1,2
210,sleepyhollow-drc,1710,2,20
211,sleepyhollow-drc,1710,3,29
212,sleepyhollow-drc,1710,4,41
213,sleepyhollow-drc,1710,5,57
214,sleepyhollow-drc,1710,6,24
215,sleepyhollow-drc,1710,7,32
216,sleepyhollow-drc,1710,8,35
217,sleepyhollow-drc,1710,9,4
218,sleepyhollow-drc,1710,10,12
219,sleepyhollow-drc,1710,11,15
220,sleepyhollow-drc,1710,12,0
221,sleepyhollow-drc,1710,13,19
222,sleepyhollow-drc,1710,14,0
223,sleepyhollow-drc,1710,15,0
224,sleepyhollow-drc,1711,0,14
225,sleepyhollow-drc,1711,1,2
226,sleepyhollow-drc,1711,2,21
227,sleepyhollow-drc,1711,3,31
228,sleepyhollow-drc,1711,4,43
229,sleepyhollow-drc,1711,5,63
230,sleepyhollow-drc,1711,6,24
231,sleepyhollow-drc,1711,7,39
232,sleepyhollow-drc,1711,8,39
233,sleepyhollow-drc,1711,9,7
234,sleepyhollow-drc,1711,10,15
235,sleepyhollow-drc,1711,11,18
236,sleepyhollow-drc,1711,12,0
237,sleepyhollow-drc,1711,13,19
238,sleepyhollow-drc,1711,14,0
239,sleepyhollow-drc,1711,15,0
240,sleepyhollow-drc,1712,0,15
241,sleepyhollow-drc,1712,1,3
242,sleepyhollow-drc,1712,2,21
243,sleepyhollow-drc,1712,3,40
244,sleepyhollow-drc,1712,4,48
245,sleepyhollow-drc,1712,5,66
246,sleepyhollow-drc,1712,6,24
247,sleepyhollow-drc,1712,7,39
248,sleepyhollow-drc,1712,8,40
249,sleepyhollow-drc,1712,9,10
250,sleepyhollow-drc,1712,10,18
251,sleepyhollow-drc,1712,11,18
252,sleepyhollow-drc,1712,12,0
253,sleepyhollow-drc,1712,13,20
254,sleepyhollow-drc,1712,14,0
255,sleepyhollow-drc,1712,15,0
256,sleepyhollow-drc,1713,0,16
257,sleepyhollow-drc,1713,1,3
258,sleepyhollow-drc,1713,2,21
259,sleepyhollow-drc,1713,3,44
260,sleepyhollow-drc,1713,4,51
261,sleepyhollow-drc,1713,5,66
262,sleepyhollow-drc,1713,6,25
263,sleepyhollow-drc,1713,7,43
264,sleepyhollow-drc,1713,8,40
265,sleepyhollow-drc,1713,9,10
266,sleepyhollow-drc,1713,10,20
267,sleepyhollow-drc,1713,11,18
268,sleepyhollow-drc,1713,12,0
269,sleepyhollow-drc,1713,13,20
270,sleepyhollow-drc,1713,14,0
271,sleepyhollow-drc,1713,15,0
272,sleepyhollow-drc,1714,0,17
273,sleepyhollow-drc,1714,1,5
274,sleepyhollow-drc,1714,2,22
275,sleepyhollow-drc,1714,3,47
276,sleepyhollow-drc,1714,4,51
277,sleepyhollow-drc,1714,5,66
278,sleepyhollow-drc,1714,6,25
279,sleepyhollow-drc,1714,7,43
280,sleepyhollow-drc,1714,8,41
281,sleepyhollow-drc,1714,9,12
282,sleepyhollow-drc,1714,10,20
283,sleepyhollow-drc,1714,11,19
284,sleepyhollow-drc,1714,12,0
285,sleepyhollow-drc,1714,13,20
286,sleepyhollow-drc,1714,14,0
287,sleepyhollow-drc,1714,15,0
288,sleepyhollow-drc,1715,0,17
289,sleepyhollow-drc,1715,1,6
290,sleepyhollow-drc,1715,2,22
291,sleepyhollow-drc,1715,3,48
292,sleepyhollow-drc,1715,4,52
293,sleepyhollow-drc,1715,5,66
294,sleepyhollow-drc,1715,6,25
295,sleepyhollow-drc,1715,7,43
296,sleepyhollow-drc,1715,8,45
297,sleepyhollow-drc,1715,9,12
298,sleepyhollow-drc,1715,10,22
299,sleepyhollow-drc,1715,11,27
300,sleepyhollow-drc,1715,12,0
301,sleepyhollow-drc,1715,13,22
302,sleepyhollow-drc,1715,14,0
303,sleepyhollow-drc,1715,15,0
304,sleepyhollow-drc,1716,0,18
305,sleepyhollow-drc,1716,1,6
306,sleepyhollow-drc,1716,2,24
307,sleepyhollow-drc,1716,3,48
308,sleepyhollow-drc,1716,4,53
309,sleepyhollow-drc,1716,5,66
310,sleepyhollow-drc,1716,6,26
311,sleepyhollow-drc,1716,7,44
312,sleepyhollow-drc,1716,8,46
313,sleepyhollow-drc,1716,9,12
314,sleepyhollow-drc,1716,10,28
315,sleepyhollow-drc,1716,11,27
316,sleepyhollow-drc,1716,12,0
317,sleepyhollow-drc,1716,13,22
318,sleepyhollow-drc,1716,14,0
319,sleepyhollow-drc,1716,15,0
320,sleepyhollow-drc,1717,0,22
321,sleepyhollow-drc,1717,1,8
322,sleepyhollow-drc,1717,2,24
323,sleepyhollow-drc,1717,3,50
324,sleepyhollow-drc,1717,4,54
325,sleepyhollow-drc,1717,5,67
326,sleepyhollow-drc,1717,6,28
327,sleepyhollow-drc,1717,7,45
328,sleepyhollow-drc,1717,8,47
329,sleepyhollow-drc,1717,9,12
330,sleepyhollow-drc,1717,10,28
331,sleepyhollow-drc,1717,11,28
332,sleepyhollow-drc,1717,12,0
333,sleepyhollow-drc,1717,13,22
334,sleepyhollow-drc,1717,14,0
335,sleepyhollow-drc,1717,15,0
336,sleepyhollow-drc,1718,0,23
337,sleepyhollow-drc,1718,1,11
338,sleepyhollow-drc,1718,2,23
339,sleepyhollow-drc,1718,3,47
340,sleepyhollow-drc,1718,4,59
341,sleepyhollow-drc,1718,5,63
342,sleepyhollow-drc,1718,6,28
343,sleepyhollow-drc,1718,7,46
344,sleepyhollow-drc,1718,8,49
345,sleepyhollow-drc,1718,9,12
346,sleepyhollow-drc,1718,10,29
347,sleepyhollow-drc,1718,11,33
348,sleepyhollow-drc,1718,12,0
349,sleepyhollow-drc,1718,13,22
350,sleepyhollow-drc,1718,14,0
351,sleepyhollow-drc,1718,15,0
352,sleepyhollow-drc,1719,0,24
353,sleepyhollow-drc,1719,1,12
354,sleepyhollow-drc,1719,2,23
355,sleepyhollow-drc,1719,3,49
356,sleepyhollow-drc,1719,4,59
357,sleepyhollow-drc,1719,5,61
358,sleepyhollow-drc,1719,6,25
359,sleepyhollow-drc,1719,7,50
360,sleepyhollow-drc,1719,8,49
361,sleepyhollow-drc,1719,9,13
362,sleepyhollow-drc,1719,10,30
363,sleepyhollow-drc,1719,11,35
364,sleepyhollow-drc,1719,12,0
365,sleepyhollow-drc,1719,13,22
366,sleepyhollow-drc,1719,14,0
367,sleepyhollow-drc,1719,15,0
368,sleepyhollow-drc,1720,0,30
369,sleepyhollow-drc,1720,1,14
370,sleepyhollow-drc,1720,2,23
371,sleepyhollow-drc,1720,3,48
372,sleepyhollow-drc,1720,4,60
373,sleepyhollow-drc,1720,5,60
374,sleepyhollow-drc,1720,6,30
375,sleepyhollow-drc,1720,7,50
376,sleepyhollow-drc,1720,8,49
377,sleepyhollow-drc,1720,9,14
378,sleepyhollow-drc,1720,10,32
379,sleepyhollow-drc,1720,11,35
380,sleepyhollow-drc,1720,12,0
381,sleepyhollow-drc,1720,13,22
