,year,year_count,congregation,denomination,density,clustering,preferential_edges,jacc_edges,gender_assort,male_bridges,female_bridges,male,female,nodes,bridge_pct,network_pct
34,1711,35,flatbush-drc,dutch reformed,0.01891891891891892,0.876,0.0,0.0,-0.26117365592953823,10,3,90,95,185,0.3,1.0555555555555556
35,1712,36,flatbush-drc,dutch reformed,0.01891891891891892,0.889,0.0,0.0,-0.26117365592953823,10,3,90,95,185,0.3,1.0555555555555556
36,1713,37,flatbush-drc,dutch reformed,0.01891891891891892,0.89,0.0,0.0,-0.26117365592953823,10,3,90,95,185,0.3,1.0555555555555556
37,1714,38,flatbush-drc,dutch reformed,0.01891891891891892,0.888,0.0,0.0,-0.26117365592953823,10,3,90,95,185,0.3,1.0555555555555556
38,1715,39,flatbush-drc,dutch reformed,0.01891891891891892,0.89,0.0,0.0,-0.26117365592953823,10,3,90,95,185,0.3,1.0555555555555556
39,1716,40,flatbush-drc,dutch reformed,0.02242825607064018,0.893,0.0,0.0,-0.26820796700314775,3,2,76,75,151,0.6666666666666666,0.9868421052631579
40,1717,41,flatbush-drc,dutch reformed,0.02242825607064018,0.912,0.0,0.0,-0.26820796700314775,3,2,76,75,151,0.6666666666666666,0.9868421052631579
41,1718,42,flatbush-drc,dutch reformed,0.02476506357103372,0.928,0.0,0.0,-0.26826156299840553,3,1,67,68,135,0.3333333333333333,1.0149253731343284
42,1719,43,flatbush-drc,dutch reformed,0.05493863237872589,0.923,0.0,0.0,-0.3191489361702128,0,0,29,30,59,0.0,1.0344827586206897
43,1720,44,flatbush-drc,dutch reformed,0.10416666666666667,0.926,0.0,0.0,-0.34545454545454546,0,0,16,17,33,0.0,1.0625
44,1721,45,flatbush-drc,dutch reformed,0.070578231292517,0.936,0.0,0.0,-0.3283864396915466,2,0,24,25,49,0.0,1.0416666666666667
45,1722,46,flatbush-drc,dutch reformed,0.059932659932659935,0.938,0.0,0.0,-0.328526249209361,2,0,27,28,55,0.0,1.037037037037037
46,1723,47,flatbush-drc,dutch reformed,0.059932659932659935,0.944,0.0,0.0,-0.328526249209361,2,0,27,28,55,0.0,1.037037037037037
47,1724,48,flatbush-drc,dutch reformed,0.059932659932659935,0.929,0.0,0.0,-0.328526249209361,2,0,27,28,55,0.0,1.037037037037037
48,1725,49,flatbush-drc,dutch reformed,0.05191256830601093,0.942,0.0,0.0,-0.33162754477694945,2,0,31,30,61,0.0,0.967741935483871
49,1726,50,flatbush-drc,dutch reformed,0.05191256830601093,0.955,0.0,0.0,-0.33162754477694945,2,0,31,30,61,0.0,0.967741935483871
