degree,count
0,0
1,177
2,29
3,22
4,8
5,3
6,6
7,4
8,1
9,4
10,2
11,1
12,2
13,2
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,2
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
