degree,count
0,0
1,137
2,145
3,593
4,62
5,127
6,75
7,65
8,61
9,60
10,47
11,44
12,35
13,37
14,31
15,23
16,13
17,18
18,16
19,17
20,10
21,14
22,12
23,9
24,9
25,10
26,9
27,12
28,8
29,5
30,4
31,6
32,3
33,10
34,5
35,7
36,6
37,3
38,4
39,2
40,2
41,0
42,3
43,2
44,4
45,3
46,3
47,0
48,2
49,0
50,3
51,2
52,1
53,0
54,0
55,2
56,1
57,3
58,0
59,1
60,3
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,2
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,1
