,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1697,1,sleepyhollow-drc,dutch reformed,0.07954545454545454,0.591,-0.23809523809523814,0.015899581589958692,0.5866432337434095,2,2,0.30952380952380953,0.19047619047619047,0.19047619047619047,16,17,33,0.5,0.5151515151515151
1,1698,2,sleepyhollow-drc,dutch reformed,0.04855769230769231,0.572,-0.1724545007378258,0.27979426033082005,0.5502397807718659,3,3,0.29207920792079206,0.2376237623762376,0.1782178217821782,34,31,65,0.5,0.47692307692307695
2,1699,3,sleepyhollow-drc,dutch reformed,0.04647983595352016,0.576,-0.18055555555555566,0.12151169431084186,0.5225527379870233,6,3,0.29411764705882354,0.23529411764705882,0.17647058823529413,39,38,77,0.3333333333333333,0.4935064935064935
3,1700,4,sleepyhollow-drc,dutch reformed,0.04186046511627907,0.566,-0.16658813450417675,0.1057846219515196,0.4872982629050142,8,3,0.2908496732026144,0.23529411764705882,0.1830065359477124,43,43,86,0.2727272727272727,0.5
4,1701,5,sleepyhollow-drc,dutch reformed,0.037502379592613745,0.579,-0.18892012482913362,0.04464663092563346,0.5135006471384579,8,5,0.2969543147208122,0.2182741116751269,0.18781725888324874,51,52,103,0.38461538461538464,0.5048543689320388
5,1702,6,sleepyhollow-drc,dutch reformed,0.03370049829530553,0.628,-0.2068834926453878,-0.01440753058147915,0.5525843909402691,6,7,0.301556420233463,0.21011673151750973,0.1867704280155642,64,60,124,0.5384615384615384,0.4838709677419355
6,1703,7,sleepyhollow-drc,dutch reformed,0.033118027011156785,0.574,-0.19932054105064498,-0.03865484109386557,0.5560979132067296,8,6,0.299645390070922,0.2127659574468085,0.1879432624113475,66,65,131,0.42857142857142855,0.4961832061068702
7,1704,8,sleepyhollow-drc,dutch reformed,0.028809769521843824,0.521,-0.1881020486361735,0.05437629291457317,0.5346962776716058,5,7,0.29701492537313434,0.20597014925373133,0.2,75,78,153,0.5833333333333334,0.5098039215686274
8,1705,9,sleepyhollow-drc,dutch reformed,0.025547674345615466,0.528,-0.18430378218479274,0.08287004783722945,0.5280885848454985,7,8,0.29606879606879605,0.20638820638820637,0.20147420147420148,87,92,179,0.5333333333333333,0.5139664804469274
9,1706,10,sleepyhollow-drc,dutch reformed,0.022125624864159966,0.499,-0.17092789871854244,0.10096121732710585,0.5543599834526594,8,7,0.29273084479371314,0.2082514734774067,0.206286836935167,101,114,215,0.4666666666666667,0.5302325581395348
10,1707,11,sleepyhollow-drc,dutch reformed,0.021532091097308487,0.544,-0.1748251748251748,0.06095485682561318,0.5608468078704787,8,6,0.2937062937062937,0.2062937062937063,0.2062937062937063,106,125,231,0.42857142857142855,0.5411255411255411
11,1708,12,sleepyhollow-drc,dutch reformed,0.02072210659668808,0.572,-0.18195301376364512,0.08192491245415613,0.5744873691145646,8,7,0.2954876273653566,0.2052401746724891,0.20378457059679767,119,139,258,0.4666666666666667,0.5387596899224806
12,1709,13,sleepyhollow-drc,dutch reformed,0.01926200974704108,0.596,-0.1861116537304232,0.06525457542684467,0.574017265471282,8,6,0.2965194109772423,0.20615796519410978,0.20080321285140562,129,150,279,0.42857142857142855,0.5376344086021505
13,1710,14,sleepyhollow-drc,dutch reformed,0.018107412378165495,0.593,-0.1883985217623689,0.10162914604325121,0.5563087628570071,13,6,0.2970838396111786,0.2065613608748481,0.19927095990279464,139,163,302,0.3157894736842105,0.5397350993377483
14,1711,15,sleepyhollow-drc,dutch reformed,0.01630172490839217,0.576,-0.19085963003264433,0.08146106777523451,0.562496273369362,13,6,0.29769736842105265,0.20614035087719298,0.19846491228070176,153,182,335,0.3157894736842105,0.5432835820895522
15,1712,16,sleepyhollow-drc,dutch reformed,0.015579804410706907,0.589,-0.18481417251252874,0.08792601766859662,0.5625834403480319,10,7,0.2961689587426326,0.20923379174852652,0.19842829076620824,166,196,362,0.4117647058823529,0.5414364640883977
16,1713,17,sleepyhollow-drc,dutch reformed,0.015294316835035838,0.562,-0.18277862179609955,0.07605138470811447,0.555798458750638,10,7,0.29566420664206644,0.20940959409594095,0.1992619926199262,173,204,377,0.4117647058823529,0.5411140583554377
17,1714,18,sleepyhollow-drc,dutch reformed,0.015384000639335092,0.584,-0.1828116601106098,0.06883267675797332,0.5483468230163634,10,5,0.2956709956709957,0.20952380952380953,0.19913419913419914,178,210,388,0.3333333333333333,0.5412371134020618
18,1715,19,sleepyhollow-drc,dutch reformed,0.014790428583532031,0.595,-0.1769871968760781,0.07019188907542646,0.5425821451313919,15,5,0.294189852700491,0.2127659574468085,0.1988543371522095,188,219,407,0.25,0.538083538083538
19,1716,20,sleepyhollow-drc,dutch reformed,0.014888055460847824,0.584,-0.17419975231295964,0.07893872965695078,0.5379702498328105,15,6,0.29351145038167936,0.21221374045801528,0.20076335877862594,196,224,420,0.2857142857142857,0.5333333333333333
20,1717,21,sleepyhollow-drc,dutch reformed,0.014630012182848668,0.568,-0.17324078385964042,0.08114927547142964,0.5259923369414784,18,6,0.2932657494569153,0.21288921071687184,0.2005792903692976,203,232,435,0.25,0.5333333333333333
21,1718,22,sleepyhollow-drc,dutch reformed,0.014259011470537165,0.511,-0.1721146404501533,0.07481382385969204,0.5289518929968792,14,8,0.29297994269340977,0.2134670487106017,0.20057306590257878,208,235,443,0.36363636363636365,0.5304740406320542
